Company Name,Experience With SBIR Program
AMBIHARV INC.,1
"ONECYTE BIOTECHNOLOGIES, Inc.",3
SCISCO GENETICS INC,3
(DCS) DIMENSIONAL CONTROL SYSTEMS,2
-9 2 -6.LLC,1
0 BASE DESIGN LLC,7
"0 DB CODING, INC.",1
"10 BLADE, INC.",2
"109 Therapeutics, Inc.",2
10dBx LLC ,1
1109 Bravo L.L.C.,2
"1442 S. FALLON STREET, LLC",1
149 Medical Inc.,2
1910 GENETICS INC.,1
"1HUDDLE, INC",4
1st Detect Corp,1
"1st Edge, LLC",2
1ST PLAYABLE PRODUCTIONS LLC,3
1st1 Technologies LLP,1
2 Circle Inc,2
20 20 Genesystems Inc,17
202 Group LLC,2
"2020 Company, LLC",2
214 Technologies Inc.,4
21MedTech LLC,1
"21st Century Medicine, Inc.",10
"21ST CENTURY SYSTEMS, INC.",106
"21ST CENTURY THERAPEUTICS, INC.",4
231 Sheep LLC,1
"23ANDME, INC.",8
"2B TECHNOLOGIES, INC.",13
"2CIMPLE, INC.",2
2enovate LLC,1
2g Enterprises,2
2LRESEARCH,7
"2morrow, Inc.",1
"2PHASE TECHNOLOGIES, INC.",6
2W ITech LLC,6
2witech Solutions LLC,2
2X4LAB LLC,1
"3 C CATTLE FEEDERS, INC.",2
"3 DEGREES OF SEPARATION, INC",1
3 H Company,3
"3 Phoenix, Inc.",53
"3 Sigma Research, Inc.",18
"3-C Institute for Social Development, Inc.",83
3-ONE-2,1
300 BELOW INC,3
"360FRESH, INC.",2
"361 Interactive, Llc",17
3AM INNOVATIONS INC,1
3BAR BIOLOGICS INC.,3
3c Semiconductors,2
"3c Systems, Inc.",8
3D AERIAL SOLUTIONS LLC,2
"3D Array Technology, LLC",4
"3D BIOMATRIX, INC.",1
"3D Biotek, LLC",3
3D Cloud LLC,2
3D CONSTRUCTION CO.,1
"3D Control Systems, Inc.",1
3D Educational Services Inc.,1
"3D Epitaxial Technologies, LLC ",1
"3D Glass Solutions, Inc. ",5
"3D Health Solutions, Inc.",1
"3D Imaging Drug Design and Development, LLC",2
3d Informatics,1
3D Microfluidics LLC,1
"3D Molecular Designs, LLC",9
3D PIPELINE SIMULATION CORP.,1
3D RESEARCH CORP.,2
3D TECHNOLOGY LABORATORIES,9
"3D-Computing, Inc.",3
3D-SensIR Inc,1
"3DB LABS, INC.",2
3DEO INC,2
"3DEO, Inc.",2
"3Derm Systems, Inc.",3
3DFlexible Inc,7
3DFortify Inc.,2
3dgeo Development Inc.,26
3dh Corporation,1
3DI (FORMERLY EARTH INFO SYS. CORP),1
"3DMD, LLC",2
"3DNOL, LLC",1
3DP Security Inc,1
3DSIM LLC,7
"3DT Holdings, LLC",23
"3DVIS TECHNOLOGIES, INC.",2
"3E TECHNOLOGIES INTERNATIONAL, INC.",40
"3F, LLC",5
3GCOM,1
3Gear Systems,1
"3GEN, LLC",2
"3Helix, Inc.",2
"3I Diagnostics, Inc.",2
"3i Nanotech, Inc.",1
3NEWABLE LLC,2
3P BIOTECHNOLOGIES,3
"3PrimeDx, Inc",1
"3RD MILLENNIUM, INC",5
3s Navigation (dba For,5
3SCAN INC.,1
3SRM INC.,3
"3T Technologies, LLC",1
3tech Corp,1
"3TEX, Inc.",43
"3Tier Environmental Forecast Group, Inc.",1
3TP IMAGING SCIENCES,1
"4 Cycle Technologies, Inc.",1
4 D Technology Corporation,8
"4-D IMAGING, INC.",1
4-Web Spine Inc.,2
4042 AI LLC,1
410 MEDICAL INC,3
422 Group,2
"42Bio, LLC",1
451 TECH L.L.C.,1
490 BIOTECH INC,11
"4CS BREEDING TECHNOLOGIES, INC.",1
4D Forge LLC,1
"4D MAKER, LLC",1
"4D TECH SOLUTIONS, INC.",5
4D Teleport Technologies,1
4D VALUE ADDED SOLUTIONS TEAM,1
"4DGENOME, INC.",1
4DVideo,2
"4E THERAPEUTICS, INC.",2
"4EMPOWERMENT.COM, INC.",1
"4pi Analysis, Inc.",5
4POWER LLC,2
"4S - SILVERSWORD SOFTWARE AND SERVICES, LLC",8
4TH PHASE WATER TECHNOLOGIES LLC,1
4th Wave Imaging Corporation,12
4th-Phase Inc,1
"4WAVE, INC.",3
"4WIND SCIENCE AND ENGINEERING, LLC.",2
"4WIND TECHNOLOGIES, INC.",1
"5 Point App, Inc.",1
"5, Inc. (full Immersion",2
"5-D SYSTEMS, INC.",12
"525 Solutions, Inc.",5
"5D Robotics, Inc.",3
"5M BIOMED, LLC",3
"5ME, LLC",1
5VS LLC,1
6crickets Inc.,1
6K INC,7
7 Hills Pharma LLC,7
712 North Inc.,1
"7Solar Technologies, Inc.",1
8VA Corporation,2
911 SECURITY CAMERAS,1
A &amp; D Assoc.,2
A &amp; E Associates,2
"A &amp; H STABILITAS VENTURES, INC.",2
A &amp; J Manufacturing Co.,1
"A &amp; O, Inc.",1
A &amp; P TECHNOLOGY,6
A and D Assay,2
"A B TECHNOLOGIES, INC.",1
"A CARROT, INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS ACARROT.AI",1
A E RESOURCES INC,1
A J Mulac,1
A J RHEM &amp; ASSOCIATES INC,1
"A P Ventures, LLC",1
"A T A, LLC",2
A Woman&#039;s Health Concern,2
"A&amp;G PHARMACEUTICAL, INC.",15
A&amp;Q NanoDesigns,1
A&#039;as Inc.,1
"A-Alpha Bio, Inc.",3
"A-B-Sea Research, Inc.",1
"A-P-T Research, Inc.",1
A-TECH CORPORATION,104
A. BROWN DESIGN,4
A. P. PHARMA,1
A.i. Technology Inc,3
A.J. Boggs and Company,3
"A.J. Devaney Assoc., Inc.",3
A.k. Engineering,2
A.M. Todd Company,1
"A.T.E. SOLUTIONS, INC.",3
"A.U. Software, Incorporated",6
"A.W. CAIN &amp; COMPANY, INC.",2
A/C &amp; Mechanical Services Corp,3
A/g Technology Corp.,6
A/s/k Associates,2
A1-chem Fuels Inc.,2
A10 Systems LLC,5
A123 Systems,2
A2 TECHNOLOGIES,1
A2 Therapeutics Inc.,1
A2Z TECHNOLOGIES CORP.,3
AA Plasma LLC,10
"AAAA Energy Enterprises, Inc.",1
"AAAS SCIENCE PUBLICATIONS, INC.",3
AAC,1
AAC International,11
"AADI, LLC",2
"AAKEN LABORATORIES, INC.",2
"AARDEN PHARMACEUTICALS, INC.",1
Aarno Labs LLC,4
Aasa Inc,1
"Aastrom Biosciences, Inc.",24
Aavishkar LLC,1
AAVOGEN INC,2
"Abacus Controls, Inc.",7
"ABACUS DIAGNOSTICS SYSTEMS, INC.",2
"ABACUS HEALTH SOLUTIONS, LLC",15
Abacus Programming Corp,2
"Abalone Bio, Inc.",6
Abamis IT Solutions,1
Abanti Research And Develment,1
Abaris,14
"ABASTAR MDX, INC.",1
Abbott Ball Company,2
Abbott on Call Inc,2
Abceutics,1
Abcombi Biosciences Inc ,4
"Abcuro, Inc.",1
"ABD BIOQUEST, INC.",1
ABE BELKIND &amp; ASSOC.,2
Abeam Technologies Inc.,12
Abek Inc.,1
Abel Company,22
Abela Laser Systems,2
ABEOME CORPORATION,6
"ABGENIX, INC.",2
Abi,1
"ABID, INC.",1
AbiliLife Inc.,1
"ABILITA BIO, INC.",4
"Abilitech Medical, Inc.",1
Ability Engineering Technology,1
ABILITY INTERACTIVE LLC,1
"ABIOMED, INC.",64
"Abj Integration Technologies,",3
ABL ENGINEERING LLC,1
ABL Space Systems Company,3
"ABLATION NUMERICS, INC.",1
Ablaze Development Corporation ,5
"ABLAZE SYSTEMS, LLC",1
ABLELINK TECHNOLOGIES INC,63
"Ablitech, Inc.",2
ABM,1
"AbM Engineering, LLC",1
ABN,7
"Abom, Inc.",2
"ABOVE FITNESS PRODUCTS, LTD",1
"ABQMR, INC.",4
"Abram Scientific, Inc.",3
ABRATECH CORPORATION,37
"Abraxis, Inc.",7
"ABREOS BIOSCIENCES, INC.",11
"Abri Science, LLC",1
ABRICATE INC.,1
Abs Materials Inc.,7
"Absolute Nano, LLC",1
ABSORPTION SYSTEMS LLC,2
ABSTRACT ENGINEERING LLC,2
"abSynapTex, LLC",1
Abt Associates Inc.,2
ABT Molecular Imaging,2
ABTECH CORPORATION,40
"ABTECH INDUSTRIES, INC.",1
"Abtelum Biomedical, Inc. ",1
"ABTERRA BIOSCIENCES, INC.",11
"Abwiz Bio, Inc.",2
"Abzyme Therapeutics, LLC",21
"AC DIAGNOSTICS, INC.",5
"AC Global Risk, Inc.",3
"AC MATERIALS, INC.",7
"Aca Industries, Inc.",5
"ACACIA BIOSCIENCES, INC.",5
"ACADEMIC EDGE, INC.",22
Academic Pharmaceuticals Inc,6
ACADEMIC RESEARCH ENTERPRISES,1
"ACADEMIC SOFTWARE, INC.",15
Academic Success For All Learners,2
"Acadia Optronics, Llc",19
"ACADIA PHARMACEUTICALS, INC.",3
Acadian,1
ACADIAN RESEARCH &amp; DEVELOPMENT LLC,2
"ACADUCEUS PHARMACEUTICS, INC.",3
"ACAMBIS, INC.",1
"Acanthus, Inc",1
ACATECHOL INC,1
Accacia International LLC,11
Accel Catalysis Inc.,7
"ACCEL DIAGNOSTICS, LLC",8
Accel Software Engineering,2
ACCEL-RF CORPORATION,5
"ACCELALOX, INC.",1
ACCELERATE WIND INC,2
"Accelerated AG Technologies, LLC",3
"Accelerated Data Works, Inc.",2
"ACCELERATED MEDICAL DIAGNOSTICS, INC",4
Accelerated Processors Inc.,2
Acceleration Consultants Inc,1
ACCELERATIONS EDUCATIONAL SOFTWARE,4
Accelerator Technology Corporation,19
Accelereyes LLC,8
Accelergy Corporation,1
"Accelero Biostructures, Inc.",2
"Accelevir Diagnostics, LLC",11
"Accelogic, LLC",25
"Accent Assays, Inc.",1
"ACCENTS ON HEALTH, INC.",11
"ACCESS BIO, INC.",6
"ACCESS CONSULTING INTRNTL, INC.",1
"Access Dynamics, Inc.",1
"ACCESS OPTICAL NETWORKS, INC.",1
"ACCESS PHARMACEUTICALS, INC.",2
