Company Name,Experience With SBIR Program
Physical Optics Corporation,1982
Physical Sciences Inc.,1475
CREARE LLC,1283
"Intelligent Automation, Inc.",1203
LYNNTECH INC,1028
Luna Innovations Incorporated,1009
"FOSTER-MILLER, INC.",962
"Radiation Monitoring Devices, Inc.",897
"TDA Research, Inc.",865
"Charles River Analytics, Inc.",861
CFD Research Corporation,832
"Triton Systems, Inc.",755
TOYON RESEARCH CORPORATION,505
"ATS-MER, LLC",485
APTIMA INC,475
MAINSTREAM ENGINEERING CORPORATION,453
Spire Corporation,439
SCIENTIFIC SYSTEMS CO INC,437
"Giner, Inc.",431
Nanosonic Inc.,422
"Aerodyne Research, Inc.",407
"EIC LABORATORIES, INC.",404
"Stottler Henke Associates, Inc.",397
"Texas Research Institute, Austin, Inc.",373
Ultramet,362
"ELTRON RESEARCH &amp; DEVELOPMENT, INCORPORATED",344
Arete Associates,340
MISSION RESEARCH CORP.,321
"Cornerstone Research Group, Incorporated",317
"Spectral Sciences, Inc.",315
Technology Service Corporation,309
PROGENY SYSTEMS CORPORATION,309
TECH-X CORPORATION,306
"BARRON ASSOCIATES, INC.",304
UES INC,292
"COMBUSTION RESEARCH AND FLOW TECHNOLOGY, INC.",287
"Metrolaser, Inc.",286
Cybernet Systems Corporation,279
"ADA TECHNOLOGIES, INC.",272
"AGILTRON, INC.",270
SOUTHWEST SCIENCES INC,266
"Intelligent Optical Systems, Inc.",265
"SA Photonics, Inc. ",264
"HYPRES, INC.",258
"Advanced Fuel Research, Inc.",256
"KNOWLEDGE BASED SYSTEMS, INC.",253
CONTINUUM DYNAMICS INC,251
"Busek Co., Inc.",239
Impact Technologies,239
"Science Research Laboratory, Inc",239
Advanced Technologies/Laboratories Intl,238
"COMPACT MEMBRANE SYSTEMS, INC.",238
"VOXTEL, INC.",236
NANOHMICS INC,232
"ALPHATECH, INC.",228
"Architecture Technology, Inc.",228
"TPL, Inc.",226
"DANIEL H. WAGNER ASSOCIATES, INCORPORATED",219
Orbital Technologies Corporation,218
"COHERENT TECHNOLOGIES, INC.",218
SOAR TECHNOLOGY INC,217
OCEANIT LABORATORIES INC,215
Infoscitex Corporation,211
Systems &amp; Processes Engineering Corporation,205
"Advanced Cooling Technologies, Inc.",204
Materials Sciences LLC,203
"MEMBRANE TECHNOLOGY AND RESEARCH, INC.",201
First RF Corporation,197
"Rct Systems, Inc.",195
Irvine Sensors Corporation,189
Freedom Photonics LLC,186
Trident Systems Incorporated,186
"Kitware, Inc.",184
ORINCON,184
AMERICAN GNC CORPORATION,182
"Tanner Research, Inc.",179
"Precision Combustion, Inc.",178
"Systems Technology, Inc.",176
AURORA FLIGHT SCIENCES CORPORATION,175
"CHI Systems, Inc. ",174
"BEND RESEARCH, INC.",174
"Scientific Applications &amp; Research Associates, Inc.",171
"Spectral Energies, LLC",171
"SVT Associates, Incorporated",171
"STRUCTURED MATERIALS INDUSTRIES, INC.",171
Los Gatos Research,167
"METRON, INCORPORATED",167
MATERIALS MODIFICATIONS INC.,166
INTELLISENSE SYSTEMS INC,165
"MAXENTRIC TECHNOLOGIES, LLC",165
TIAX LLC,164
Frontier Technology Inc.,163
Cape Cod Research,162
"Oregon Center For Applied Science, Inc ",161
Nanomaterials Research LLC,161
"Faraday Technology, Inc. ",160
"Sonalysts, Inc.",159
KaZaK Composites Incorporated,159
"NVE CORP. (FORMERLY NONVOLATILE ELECTRONICS, INC.",157
Intelligent Fiber Optic Systems Corporation,157
"Sparta, Inc.",156
"FIBERTEK, INC.",156
"Radiabeam Technologies, LLC",156
Panorama Research Incorporated,155
"DIVERSIFIED TECHNOLOGIES, INC.",154
American Research Corporation of Virginia,154
"Modus Operandi, Inc.",153
"Inflexxion, Inc.",151
"NAVSYS CORPORATION, THE",150
"COMPOSITE TECHNOLOGY DEVELOPMENT, INC.",149
INSIGHTFUL CORPORATION,149
ADVANCED MEDICAL ELECTRONICS CORPORATION,148
"Opto-knowledge Systems, Inc.",148
Mide Technology Corporation,148
Corvid Technologies LLC,147
"Plasma Processes, LLC",147
NUMERICA CORP,147
"Technology Assessment and Transfer, Inc.",146
Aculight Corporation,144
"Information Systems Laboratories, Inc.",144
Q-PEAK INCORPORATED,144
DECISIVE ANALYTICS CORPORATION,143
"Calabazas Creek Research, Inc.",142
ATC-NY INC,142
"Optra, Inc.",141
NEI CORPORATION,140
"THERMACORE, INC.",139
QUESTEK INNOVATIONS LLC,139
"Innovative Scientific Solutions, Inc ",138
ACCURATE AUTOMATION CORPORATION,138
Materials Engineering And Technical Support Services Corp.,137
"SURMODICS, INC.",136
Space Micro Inc.,135
"New England Research Institutes, Inc. ",135
"Applied Research Associates, Inc.",134
"TRS CERAMICS, INC.",132
"Perceptronics Solutions, Inc. ",132
Applied Sciences Inc.,129
Innosense Llc,129
"Technology Holding, LLC",129
"Mayflower Communications Company, Inc.",128
RESODYN CORPORATION,127
Hittite Microwave Corporation,126
GRAMMATECH INC,126
ORBITAL RESEARCH INC,124
"Aspen Systems, Inc.",123
"CSA Engineering, Inc.",122
"NIELSEN ENGINEERING &amp; RESEARCH, INC.",121
"Powdermet, Inc.",121
"Omega-P, Inc.",121
"PLANNING SYSTEMS, INC.",120
"Techno-Sciences, LLC",120
"Qortek, Inc.",119
"Nextgen Aeronautics, Inc.",119
"Honeybee Robotics, Ltd.",119
"Technical research Associates, Inc.",118
Engi-Mat Co.,118
"SCIENTIFIC RESEARCH ASSOC., INC.",117
"CLEVELAND MEDICAL DEVICES, INC.",117
Sensintel Inc.,116
"Schwartz Electro-Optics, Inc",114
"UTOPIACOMPRESSION,CORPORATION",114
MATERIALS RESEARCH &amp; DESIGN INC,114
ADELPHI TECHNOLOGY INC,114
SRS Technologies,113
"BOULDER NONLINEAR SYSTEMS, INC.",113
"SURMET, CORP.",113
Altex Technologies Corporation,112
SURFACE OPTICS CORP.,112
SYSTRAN FEDERAL CORP.,112
"Polaris Sensor Technologies, Inc.",111
"Mohawk Innovative Technology, Inc.",110
Aracor,110
Systems &amp; Technology Research LLC,110
"Supercon, Inc.",109
"DANYA INTERNATIONAL, INC.",109
BRIMROSE CORPORATION OF AMERICA,109
Sociometrics Corporation,108
"SI2 TECHNOLOGIES, INC.",108
OPTIMAL SYNTHESIS INC.,107
"Jentek Sensors, Inc.",107
Ceramem Corporation,107
"N.P. PHOTONICS, INC.",107
"DEUMBRA, INC.",106
"21ST CENTURY SYSTEMS, INC.",106
POLARONYX INC,105
AGAVE BIOSYSTEMS INC.,105
Displaytech Incorporated,105
TOUCHSTONE RESEARCH LABORATORY LTD (INC),104
"Spectra Research, Inc.",104
A-TECH CORPORATION,104
"TECHSHOT, INC.",104
UMPQUA RESEARCH COMPANY,104
Alameda Applied Sciences Corporation,103
"ADVR, Inc",103
EPIR TECHNOLOGIES INC,103
Waterjet Technology Inc,103
"Nextech Materials, Ltd.",103
SECURBORATION INC,102
"Advanced Scientific Concepts, LLC",102
"Hawaii Biotech, Inc.",102
"ATA Engineering, Inc.",101
"Yardney Technical Products, Inc.",101
"ITN ENERGY SYSTEMS, INC.",101
"HYPER TECH RESEARCH, INC.",101
Inotek Pharmaceuticals Corporation,100
QUALTECH SYSTEMS INC,100
"DIGITAL SYSTEM RESOURCES, INC.",99
NOKOMIS INC,99
Trex Enterprises Corporation,99
SPORIAN MICROSYSTEMS INC,99
"TECHNEST, INC.",99
"Nomadics, Inc.",98
"Hypercomp, Inc.",98
"Zona Technology, Inc",98
LIGHTWAVE ELECTRONICS CORPORATION,97
MZA ASSOCIATES CORP,97
Traclabs Inc.,97
"Q-DOT, INC.",97
"EUCLID TECHLABS, LLC",96
"SSG, Inc.",96
Tacan Corp,95
"Radiance Technologies, Inc.",94
"ADAPTIVE METHODS, INC.",94
GENERAL SCIENCES INC,94
"Fiber Materials, Inc.",94
"Harmonia Holdings Group, LLC",93
"BIOTEK, INC.",92
"ASPEN AEROGELS, INC.",92
"Microlink Devices, Inc.",92
"Energy Science Laboratories, Inc.",92
"Adherent Technologies, Inc.",91
Princeton Optronics,91
"Edaptive Computing, Inc.",91
RDRTEC INCORPORATED,91
ISA ASSOCIATES INC,91
"Microcosm, Inc.",91
AMERICAN SUPERCONDUCTOR CORPORATION,90
"Design Interactive, Inc",90
"PRINCETON SCIENTIFIC INSTRUMENTS, INC.",90
"Quantum Magnetics, Inc.",89
"COVALENT ASSOC., INC.",88
"Engineering And Software System Solutions, Inc.",87
"TETHERS UNLIMITED, INC.",87
EERGC CORP.,87
"InterScience, Inc.",87
Flow Research Inc,86
"L2 Diagnostics, LLC",85
"X-RAY OPTICAL SYSTEMS, INC.",85
"PC Krause And Associates, Inc.",85
"IAP RESEARCH, INC.",85
"EMAG TECHNOLOGIES, INC.",84
CIENCIA INC,84
"SAN DIEGO COMPOSITES, INC.",84
PIONEER ASTRONAUTICS,83
"3-C Institute for Social Development, Inc.",83
"SAM TECHNOLOGY, INC.",82
"MECHANICAL SOLUTIONS, INCORPORATED",82
"Thornton Tomasetti, Inc. ",82
"Alphacore, Inc.",82
"TECHNICAL DATA ANALYSIS, INC.",82
EM PHOTONICS INC,81
Pda Engineering,81
"ADVANCED ROTORCRAFT TECHNOLOGY, INC.",81
"Etegent Technologies, Ltd.",81
"MICROBIOTIX, INC. ",81
"Omega Optics, Inc.",80
"ASTROPOWER, INC.",80
"Isca Technologies, Inc.",80
"Sensors Unlimited, Inc.",80
"Sensor Electronic Technology, Inc.",80
WaveBand Corporation,80
"Real-time Innovations, Inc.",79
"Far-Tech, Inc.",79
MANAGEMENT SCIENCES INC,79
"INTELLIGENT SYSTEMS TECHNOLOGY, INC.",79
ATLANTIC AEROSPACE ELECTRONICS CORP.,79
"RIDGETOP GROUP, INC.",78
Triangle Research and Development Corporation,78
Angion Biomedica Corp.,78
"SCIENCE &amp; ENGINEERING ASSOC., INC.",78
VEXCEL CORP.,78
"Chemat Technology, Inc.",78
"SIGMA TECHNOLOGIES INTERNATIONAL GROUP, INC.",77
"Vadum, Inc.",77
"KLEIN ASSOC., INC.",77
PERSONAL IMPROVEMENT COMPUTER SYSTEMS,77
SDL Inc,77
"KYMA TECHNOLOGIES, INC.",77
NZ APPLIED TECHNOLOGIES CORP.,77
"Smart Information Flow Technologies, LLC",77
"MAKEL ENGINEERING, INC.",76
"REACTIVE INNOVATIONS, LLC",75
"Clinical Tools, Inc ",75
CU AEROSPACE L.L.C.,75
Robotic Research LLC,75
"DYNAMICS TECHNOLOGY, INC.",75
THE DESIGN KNOWLEDGE COMPANY,75
"MOSAIC ATM, INC.",75
"AFFINERGY, LLC",74
"WILLIAMSRDM, INC.",74
Muons Inc,74
"Mark Resources, Inc.",73
"INTELLIGENT FUSION TECHNOLOGY, INC.",73
"VIASAT, INC.",73
EDWARD POPE DR,73
ROLLING HILLS RESEARCH CORP,73
Biomedical Development Corporation,73
Chromologic LLC,73
"DYNAFLOW, INC",72
McQ Inc. ,72
"Reservoir Labs, Inc.",72
"Photon Imaging, Inc.",72
"Michigan Critical Care Consultants, Inc. ",72
"Epic Sales, Inc. Dba Epic Systems",72
Micro Analysis &amp; Design Inc,72
"AMBION DIAGNOSTICS, INC.",72
Pacific-sierra Research Corp.,72
INTEGRATED SOLUTIONS FOR SYSTEMS INC,71
NAVMAR APPLIED SCIENCES CORPORATION,71
"NOVA ENGINEERING, INC.",71
MICHIGAN AEROSPACE CORP,71
BLACK RIVER SYSTEMS CO INC,71
"Ionwerks, Inc.",71
Hyper-Therm High-Temperature Composites,71
PHOTERA TECHNOLOGIES,71
Intermagnetics General Corp,71
"ONE CELL SYSTEMS, INC",71
"ATOM SCIENCES, INC.",70
K S E INC,70
VESCENT PHOTONICS LLC,70
SOLID STATE SCIENTIFIC CORP,70
"VISIDYNE, INC.",70
Optical Networks Inc,70
Optical Physics Company,70
"SCIENCE &amp; ENGINEERING SERVICES, INC.",70
Advanced Systems &amp; Technologies Inc,70
Srico Inc,70
Fm Technologies Inc,70
APPLIED NANOTECH INC,70
"Optron Systems, Inc.",69
"Aegis Technologies Group, LLC, The",69
Schafer Corporation,69
"ACELLENT TECHNOLOGIES, INC",69
"Materials and Systems Research, Inc.",69
OPHIR CORPORATION,69
"GEO-CENTERS, INC.",69
SET ASSOC. CORP.,69
Kestrel Corporation,69
"ASTRON WIRELESS TECHNOLIGIES, INC.",68
"M4 ENGINEERING, INC.",68
INNOVATIVE DYNAMICS INC,68
"AMHERST SYSTEMS, INC.",68
NU TREK INC,68
"L&#039;GARDE, INC.",67
Koronis Biomedical Technologies Corp.,67
"CapeSym, Inc",67
RNET TECHNOLOGIES INC,67
"Prosensing, Inc.",67
"BOSTON APPLIED TECHNOLOGIES, INCORPORATED",67
ANALYSIS AND MEASUREMENT SERVICES CORPORATION,66
"Concepts NREC, LLC",66
"Prime Photonics, LC",66
"Streamline Automation, LLC",66
COLORADO ENGINEERING INC.,66
"Jaycor, Inc.",66
"SIENNA TECHNOLOGIES, INC.",66
