Higher Topic,Focus Area Code,Focus Area name,Content
,Focus Area 1,In-Space Propulsion Technologies,"NASA is interested in technologies for advanced in-space propulsion systems to reduce travel time, increase payload mass, reduce acquisition costs, reduce operational costs, and enable new science capabilities for exploration and science spacecraft. The future will require demanding propulsive performance and flexibility for more ambitious missions requiring high duty cycles, more challenging environmental conditions, and extended operation. This focus area seeks innovations for NASA propulsion systems in chemical, electric, nuclear thermal and advanced propulsion systems related to human exploration and science missions. Propulsion technologies will focus on a number of mission applications including ascent, descent, orbit transfer, rendezvous, station keeping, proximity operations and deep space exploration."
,Focus Area 2,Power Energy and Storage,"Power is a ubiquitous technology need across many NASA missions. Within the SBIR Program, power is represented across a broad range of topics in human exploration, space science, space technology and aeronautics. New technologies are needed to generate electrical power and/or store energy for future human and robotic space missions and to enable hybrid electric aircraft that could revolutionize air travel. A key goal is to develop technologies that are multi-use and cross-cutting for a broad range of NASA mission applications. In aeronautics, power technologies are needed to supply large-scale electric power and efficiently distribute the power to aircraft propulsors (see Focus Area 18 – Air Vehicle Technologies). In the space power domain, mission applications include planetary surface power, large-scale spacecraft prime power, small-scale robotic probe power, and smallsat/cubesat power. Applicable technology options include photovoltaic arrays, radioisotope power systems, nuclear fission, thermal energy conversion, motor/generators, fuel cells, batteries or other energy storage devices, power management, transmission, distribution and intelligent control. An overarching objective is to mature technologies from analytical or experimental proof-of-concept (TRL3) to breadboard demonstration in a relevant environment (TRL5). Successful efforts will transition into NASA Projects where the SBIR/STTR deliverables will be incorporated into ground testbeds or flight demonstrations."
,Focus Area 3,Autonomous Systems for Space Exploration,"The exploration of space requires the best of the nation's technical community to provide the technologies that will enable human and robotic exploration beyond Low Earth Orbit (LEO): to establish a lunar presence, to visit asteroids, to extend human reach to Mars, and for increasingly ambitious robotic missions such as a Europa Lander. Autonomous Systems technologies provide the means of migrating mission control from Earth to spacecraft, habitats, and robotic explorers. This is enhancing for missions in the Earth-Lunar neighborhood and enabling for deep space missions. Long light-time delays, for example up to 42 minutes round-trip between Earth and Mars, require time-critical control decisions to be closed on-board autonomously, rather than through round-trip communication to Earth mission control. For robotic explorers this will be done through automation, while for human missions this will be done through astronaut-automation teaming.Long-term crewed spacecraft and habitats, such as the International Space Station, are so complex that a significant portion of the crew's time is spent keeping it operational even under nominal conditions in low-Earth orbit, while still requiring significant real-time support from Earth. The considerable challenge is to migrate the knowledge and capability embedded in current Earth mission control, with tens to hundreds of human specialists ready to provide instant knowledge, to on-board automation that teams with astronauts to autonomously manage spacecraft and habitats. For outer planet robotic explorers, the opportunity is to autonomously and rapidly respond to dynamic environments in a timely fashion.The “Deep Neural Network Accelerator and Neuromorphic Computing” subtopic addresses extrapolating new terrestrial computing paradigms related to machine learning to the space environment. For machine inferencing and learning computing hardware proposals, metrics related to energy expenditure per operation (e.g., multiply-add) and throughput acceleration in a space environment are especially relevant.The subtopic on swarms of space vehicles addresses technologies for control and coordination of planetary rovers, flyers, and in-space vehicles in dynamic environments. Co-ordinated swarms can provide a more robust and sensor-rich approach to space missions, allowing simultaneous recording of sensor data from dispersed vehicles and co-ordination especially in challenging environments such as cave exploration.Fault management is an integral part of space missions. The fault management subtopic spans the lifecycle of fault management for space missions from design through verification and validation to operations. In the past, the predominant operational approach to detected faults has been to safe the spacecraft, and then rely on Earth mission control to determine how to proceed. New mission concepts require future spacecraft to autonomously decide how to recover from detected anomalies and continue the mission. The fault management subtopic solicits proposals that advance fault management technology across architectures, design tools, verification and validation, and operations.The “Artificial Intelligence for the Lunar Orbital Platform-Gateway” subtopic solicits autonomy, artificial intelligence and machine learning technologies to manage and operate engineered systems to facilitate long-duration space missions, with the goal of testing proposed technologies on Gateway.  The Gateway is a planned lunar-orbit spacecraft that will have a power and propulsion system, a small habitat for the crew, a docking capability, an airlock and logistics modules. The Gateway is expected to serve as an intermediate way station between the Orion crew capsule and lunar landers as well as a platform for both crewed and un-crewed experiments. The Gateway is also intended to test technologies and operational procedures for suitability on long-duration space missions such as a mission to Mars. The “Coordination and Control of Swarms of Space Vehicles” subtopic addresses technologies for control and coordination of planetary rovers, flyers, and in-space vehicles in dynamic environments. Coordinated swarms can provide a more robust and sensor-rich approach to space missions, allowing simultaneous recording of sensor data from dispersed vehicles and co-ordination especially in challenging environments such as cave exploration."
,Focus Area 4,Robotic Systems for Space Exploration,"This focus area includes development of robotic systems technologies (hardware and software) that will enable and enhance future space exploration missions. In the coming decades, robotic systems will continue to change the way space is explored. Robots will be used in all mission phases: as independent explorers operating in environments too distant or hostile for humans, as precursor systems operating before crewed missions, as crew helpers working alongside and supporting humans, and as caretakers of assets left behind. As humans continue to work and live in space, they will increasingly rely on intelligent and versatile robots to perform mundane activities, freeing human and ground control teams to tend to more challenging tasks that call for human cognition and judgment. Technologies are needed for robotic systems to improve transport of crew, instruments, and payloads on planetary surfaces, on and around small bodies, and in-space. This includes hazard detection, sensing/perception, active suspension, grappling/anchoring, legged locomotion, robot navigation, end-effectors, propulsion, and user interfaces.Innovative robot technologies provide a critical capability for space exploration. Multiple forms of mobility, manipulation and human-robot interaction offer great promise in exploring planetary bodies for science investigations and to support human missions. Enhancements and potentially new forms of robotic systems can be realized through advances in component technologies, such as actuation and structures (e.g. 3D printing). Mobility provides a critical capability for space exploration. Multiple forms of mobility offer great promise in exploring planetary bodies for science investigations and to support human missions. Manipulation provides a critical capability for positioning crew members and instruments in space and on planetary bodies. Robotic manipulation allows for the handling of tools, interfaces, and materials not specifically designed for robots, and it provides a capability for drilling, extracting, handling and processing samples of multiple forms and scales. This increases the range of beneficial tasks robots can perform and allows for improved efficiency of operations across mission scenarios. Furthermore, manipulation is important for human missions, human precursor missions, and unmanned science missions.  Moreover, sampling, sample handling, transport, and distribution to instruments, or instrument placement directly on in-place rock or regolith, is important for robotic missions to locales too distant or dangerous for human exploration.Future space missions may rely on co-located and distributed teams of humans and robots that have complementary capabilities. Tasks that are considered ""dull, dirty, or dangerous"" can be transferred to robots, thus relieving human crew members to perform more complex tasks or those requiring real-time modifications due to contingencies. Additionally, due to the limited number of astronauts anticipated to crew planetary exploration missions, as well as their constrained schedules, ground control will need to remotely supervise and assist robots using time-delayed and limited bandwidth communications.  Advanced methods of human-robot interaction over time delay will enable more productive robotic exploration of the more distant reaches of the solar system.  This includes improved visualization of alternative future states of the robot and the terrain, as well as intuitive means of communicating the intent of the human to the robotic system."
,Focus Area 5,Communications and Navigation,"NASA seeks proposals to produce high impact developments in communications and navigation technologies to support space science and exploration missions, including the return of humans to the lunar surface. Missions are generating ever-increasing data volumes that require increased performance from communications systems while minimizing spacecraft impact. This requires higher peak throughput from the communications systems with lower flight communication system cost, mass, and power per bit transmitted.  Long range, deep-space optical communications systems are needed to support data-intensive missions beyond Mars orbit. Effective communications on a non-interference basis are also required in complex RF environments such as inside a launch vehicle fairing or spacecraft cavity, where new analysis methods are needed for predicting the RF environment. Similarly, missions have a need for more precise timing, guidance, navigation, and control to meet their mission objectives while conserving resources. This requires new and more efficient trajectory planning methods, increased onboard autonomous navigation, and improved precision of onboard instrumentation while minimizing cost, mass, and power. This focus area supports development of innovative technologies for optical and quantum communications systems, cognitive communications, flight dynamics and navigation, transformational communications approaches, electric field prediction methods, and timing, guidance, navigation, and control that will provide a significant improvement over the current state of the art."
,Focus Area 6,Life Support and Habitation Systems,"The Life Support and Habitation Systems Focus Area seeks key capabilities and technology needs encompassing a diverse set of engineering and scientific disciplines, all of which provide technology solutions that enable extended human presence in deep space and on planetary surfaces, such as Moon and Mars. The focus is on those mission systems and elements that directly support astronaut crews, such as Environmental Control and Life Support Systems (ECLSS), Extravehicular Activity (EVA) systems, plant growth for bioregenerative food production, and radiation tolerant avionics and control systems. Because spacecraft and their systems may involve multiple partnerships, with institutional, corporate and governmental involvement, Model Based Systems Engineering approaches may enable and improve their distributed development.For future crewed missions beyond low-Earth orbit (LEO) and into the solar system, regular resupply of consumables and emergency or quick-return options will not be feasible. New technologies must be compatible with attributes of the environments we encounter, including microgravity or partial gravity, varying atmospheric pressure and composition, space radiation, and the presence of planetary dust. Technologies of interest are those that enable long-duration, safe, economical and sustainable deep-space human exploration. Special emphasis is placed on developing technologies that will fill existing gaps as described in this solicitation, that reduce requirements for consumables and other resources, including mass, power, volume and crew time, and which will increase safety and reliability with respect to the state-of-the-art. Spacecraft may be untended by crew for long periods, therefore systems must be operable after these intervals of dormancy.Environmental Control and Life Support Systems encompass process technologies and monitoring functions necessary to provide and maintain a livable environment within the pressurized cabin of crewed spacecraft, including environmental monitoring, water recycling, and atmosphere revitalization.  These processes and functions include recovering resources from or repurposing gaseous, liquid and solid wastes. Unique needs exist for the Extra-vehicular Mobility Unit’s (EMU) pressure garment and Portable Life Support System (PLSS). These include targeted improvements to the Liquid Cooling and Ventilation Garment (LCVG) along with new capabilities, including a regenerable trace contaminant control system, a thermal loop bypass relief valve capable of re-calibration, and a robust feed water supply assembly. Outside of the protection of the Earth’s magnetosphere, radiation in deep space will be a challenge. However, within the shielded environment of human spacecraft and habitats, non-critical electronic systems may be able to use commercial off the shelf (COTS) rather than expensive radiation hardened parts.The current collaborative environment between government, commercial and international sectors will result in the distributed development of human spacecraft elements and systems for human missions of the future such as Gateway and lunar surface missions including Artemis. Their integration may benefit from advances in model based systems engineering approaches.Please refer to the description and references of each subtopic for further detail to guide development of proposals."
,Focus Area 7,Human Research and Health Maintenance,"NASA's Human Research Program (HRP) investigates and mitigates the highest risks to astronaut health and performance for exploration missions. HRP achieves this through a focused program of basic, applied and operational research leading to the development and delivery of:Human health, performance, and habitability standards.Countermeasures and other risk mitigation solutions.Advanced habitability and medical support technologies.HRP has developed an Integrated Research Plan (IRP) to describe the requirements and notional approach to understanding and reducing the human health and performance risks. The IRP describes the Program's research activities that are intended to address the needs of human space exploration and serve HRP customers. The Human Research Roadmap (http://humanresearchroadmap.nasa.gov) is a web-based version of the IRP that allows users to search HRP risks, gaps, and tasks.The HRP is organized into several research Elements:Human Health Countermeasures.Human Factors and Behavioral Performance.Exploration Medical Capability.Space Radiation.Each of the HRP Elements address a subset of the risks. A fifth Element, Research Operations and Integration (ROI), is responsible for the implementation of the research on various space and ground analog platforms. HRP subtopics are aligned with the Elements and solicit technologies identified in their respective research plans."
,Focus Area 8,In-Situ Resource Utilization,"In-Situ Resource Utilization (ISRU) involves any hardware or operation that harnesses and utilizes ‘in-situ’ resources (natural and discarded) to create products and services for robotic and human exploration. ISRU encompasses a broad range of systems, and is typically divided into six focus areas:  Resource Assessment, Resource Acquisition, Resource Processing/Consumable Production, In Situ Manufacturing, In Situ Construction, and In-Situ Energy. ISRU products and services can be used to reduce Earth launch mass or lander mass by not bringing everything from Earth, reduce risks to the crew and/or mission by reducing logistics, increasing shielding, and providing increased self-sufficiency, or reduce costs by needing less launch vehicles to complete the mission and/or through the reuse of hardware and lander/space transportation vehicles. Since ISRU can be performed wherever resources may exist, ISRU technologies and systems may need to operate in a variety of environments and gravities, and may need to consider a wide variety of potential resource physical and mineral characteristics. This year’s solicitation will focus on critical technologies needed in the areas of Resource Acquisition and Consumable Production for the Moon and Mars. The ISRU focus area is seeking innovative technology for:Solar ConcentratorsOxygen Extraction from Lunar RegolithLunar Ice MiningPropellant RecoveryRelaxed Propellant Grade SpecificationChemical Flow CellsAs appropriate, the specific needs and metrics of each of these specific technologies are described in the subtopic descriptions."
,Focus Area 9,"Sensors, Detectors and Instruments","NASA's Science Mission Directorate (SMD) (https://science.nasa.gov/) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics and Planetary Science. The National Academy of Science has provided NASA with recently updated Decadal surveys that are useful to identify technologies that are of interest to the above science divisions. Those documents are available at https://sites.nationalacademies.org/SSB/SSB_052297(link is external).  A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in-situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and uninhabited aerial vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities, which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in-situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For the 2020 program year, we are continuing to update the Sensors, Detectors and Instruments Topic, adding new, rotating out, and retiring some of the subtopics. Please read each subtopic of interest carefully. We continue to emphasize Ocean Worlds and solicit development of in-situ instrument technologies and components to advance the maturity of science instruments focused on the detection of evidence of life, especially extant of life, in the Ocean Worlds. The microwave technologies continue as two subtopics, one focused on active microwave remote sensing and the second on passive systems such as radiometers and microwave spectrometers. A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development of components, subsystems and systems that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase I and show a path towards a Phase II prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology."
,Focus Area 10,Advanced Telescope Technologies,"The NASA Science Mission Directorate (SMD) seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold a 4 K. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4 meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nanotechnology, and wavefront sensing and control are needed to build telescopes for Earth science."
