Focus Area Code,Subtopic code,Subtopic name
Focus Area 1,Z10.01; Z10.03; Z10.04,"Cryogenic Fluid Management; Space Nuclear Propulsion; Materials, Processes, and Technologies for Advancing In-Space Electric Propulsion Thrusters"
Focus Area 2,S3.01; S3.02; S3.03; Z1.05; Z1.06; Z1.07,"Power Generation and Conversion; Dynamic Power Conversion; Energy Storage for Extreme Environments; Lunar and Planetary Surface Power Management and Distribution; Radiation-Tolerant High-Voltage, High-Power Electronics; Dynamic Energy Conversion for Space Nuclear Power and Propulsion"
Focus Area 3,H6.22; H6.23; S5.05; T10.03; T10.04; T10.05,Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition; Spacecraft Autonomous Agent Cognitive Architectures for Human Exploration; Fault Management Technologies; Coordination and Control of Swarms of Space Vehicles; Autonomous Systems and Operations for the Lunar Orbital Platform-Gateway; Integrated Data Uncertainty Management and Representation for Trustworthy and Trusted Autonomy in Space
Focus Area 4,S4.02; T7.04; Z5.04,"Robotic Mobility, Manipulation and Sampling; Surface Construction; Technologies for Intravehicular Activity Robotics"
Focus Area 5,H9.01; H9.03; H9.05; H9.07; S3.04; T5.04,"Long-Range Optical Telecommunications; Flight Dynamics and Navigation Technologies; Transformational Communications Technology; Cognitive Communication; Guidance, Navigation, and Control; Quantum Communications"
Focus Area 6,H3.02; H3.05; H3.07; H4.05; T6.06; T6.07,Microbial Monitoring for Spacecraft Cabins; Additive Manufacturing for Adsorbent Bed Fabrication; Flame-Retardant Textiles for Intravehicular Activities (IVA); Advancements in Water and Air Bladder Assemblies and Technology; Enabling Spacecraft Water Monitoring through Nanotechnology; Space Exploration Plant Growth
Focus Area 7,H12.01; H12.03,Radioprotectors and Mitigators of Space Radiation-Induced Health Risks; Portable Spatial Disorientation Simulator - Trainer
Focus Area 8,T14.01; Z12.01,"Advanced Concepts for Lunar and Martian Propellant Production, Storage, Transfer, and Usage; Extraction of Oxygen and Water from Lunar Regolith"
Focus Area 9,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11; S1.12; T8.06; T8.07,"Lidar Remote-Sensing Technologies; Technologies for Active Microwave Remote Sensing; Technologies for Passive Microwave Remote Sensing; Sensor and Detector Technologies for Visible, Infrared (IR), Far-IR, and Submillimeter; Detector Technologies for Ultraviolet (UV), X-Ray, Gamma-Ray Instruments; Particles and Fields Sensors and Instrument Enabling Technologies; In Situ Instruments/Technologies for Lunar and Planetary Science; Suborbital Instruments and Sensor Systems for Earth Science Measurements; Cryogenic Systems for Sensors and Detectors; Atomic Quantum Sensor and Clocks; In Situ Instruments/Technologies and Plume Sampling Systems for Ocean Worlds Life Detection; Remote Sensing Instrument Technologies for Heliophysics; Quantum Sensing and Measurement; Photonic Integrated Circuits"
Focus Area 10,S2.01; S2.02; S2.03; S2.04; S2.05,"Proximity Glare Suppression for Astronomical Direct Detection of Exoplanets; Precision Deployable Optical Structures and Metrology; Advanced Optical Systems and Fabrication/Testing/Control Technologies for Extended-Ultraviolet/Optical and Infrared Telescope; X-Ray Mirror Systems Technology, Coating Technology for X-Ray-UV-OIR, and Free-Form Optics; Technology for the Precision Radial Velocity Measurement Technique"
Focus Area 11,S3.05; S3.08; S4.03; S4.04; S4.05; Z2.02,"Terrestrial Balloons and Planetary Aerial Vehicles; Command, Data Handling, and Electronics; Spacecraft Technology for Sample Return Missions; Extreme Environments Technology; Contamination Control and Planetary Protection; High-Performance Space Computing Technology"
Focus Area 12,H5.02; T9.02; Z7.01; Z7.03; Z7.04; Z7.06,"Hot Structure Technology for Aerospace Vehicles; Rapid Development of Advanced High-Speed Aerosciences Simulation Capability; Entry, Descent, and Landing Flight Sensors and Instrumentation; Entry and Descent System Technologies; Landing Systems Technologies; Entry, Descent, and Landing (EDL) Terrestrial Testing Technologies"
Focus Area 13,S5.01; S5.03; S5.04; S5.06,Technologies for Large-Scale Numerical Simulation; Accelerating NASA Science and Engineering through the Application of Artificial Intelligence; Integrated Science Mission Modeling; Space Weather Research-to-Operations/Operations-to-Research (R2O/O2R) Technology Development
Focus Area 14,T12.06; Z3.03; Z3.04; Z3.05,"Extensible Modeling of Additive Manufacturing Processes; Development of Advanced Joining Technologies, Large-Scale Additive Manufacturing Processes, and Metal Recycling Technologies for On-Orbit Manufacturing; Autonomous Modular Assembly Technology for On-Orbit Servicing, Assembly, and Manufacturing (OSAM); Satellite Servicing Technologies"
Focus Area 15,H5.01; T12.05; T12.07; Z4.04; Z4.05; Z4.06,"Lunar Surface Solar Array Structures; Use of Additive Manufacturing for Thermal Protection Systems; Design Tools for Advanced Tailorable Composites; Real-Time Defect Detection, Identification, and Correction in Wire-Feed and Fused-Filament Additive Manufacturing; Nondestructive Evaluation (NDE) Sensors, Modeling, and Analysis; Manufacturability Assessment as a Design Constraint for Advanced Tailorable Composites"
Focus Area 16,H10.01; H10.02; T13.01,Advanced Propulsion Systems Ground Test Technology; Autonomous Operations Technologies for Ground and Launch Systems; Intelligent Sensor Systems
Focus Area 17,S3.06; Z2.01,Thermal Control Systems; Spacecraft Thermal Management
Focus Area 18,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; T15.04,"Aerodynamic and Structural Efficiency - Integration of Flight Control with Aircraft Multidisciplinary Design Optimization; Quiet Performance - Airframe Noise Reduction; Propulsion Efficiency - Propulsion Materials and Structures; Electrified Aircraft Propulsion; Computational Tools and Methods; Vertical Lift Technology and Urban Air Mobility; Electric Power Generation Via Thermionic Conversion for Hypersonic Applications; Aeronautics Ground Test and Measurement Technologies; Vehicle Sensor Systems to Enable Situational Awareness; Full-Scale (2+ Passenger) Electric Vertical Takeoff and Landing (eVTOL) Scaling, Performance, Aerodynamics, and Acoustics Investigations"
Focus Area 19,A2.01; A2.02; A2.03,Flight Test and Measurement Technologies; Enabling Aircraft Autonomy; Advanced Air Mobility (AAM) Integration
Focus Area 20,A3.01; A3.02; A3.03; A3.04,Advanced Air Traffic Management System Concepts; Increasing Autonomy in the National Airspace System (NAS); Future Aviation Systems Safety; Nontraditional Airspace Operations
Focus Area 21,T5.05; Z8.02; Z8.08; Z8.09; Z8.10; Z8.11; Z8.12,"Solar and Electric Sail Embedded Technologies for Communications, Control, or Ancillary Functions; Communications and Navigation for Distributed Small Spacecraft Beyond Low Earth Orbit (LEO); Technologies to Enable Cost and Schedule Reductions for Optical System for CubeSats; Small Spacecraft Transfer Stage Development; Wireless Communication for Avionics and Sensors for Space Applications; Artificial Intelligence (AI)/Machine Learning (ML) for Small Spacecraft Swarm Trajectory Control; Modular and Batch-Producible Small Spacecraft"
Focus Area 22,H8.01,Low Earth Orbit (LEO) Platform Utilization to Foster Commercial Development of Space
Focus Area 23,H6.04; T11.04; T11.05,Model-Based Systems Engineering for Distributed Development; Digital Assistants for Science and Engineering; Model-Based Enterprise
Focus Area 24,Z13.01; Z13.02; Z13.03,Active and Passive Dust Mitigation Surfaces; Dust-Tolerant Mechanisms; Lunar Dust Mitigation Technology for Spacesuits
