Focus Area Code,Subtopic code,Subtopic name
Topic O1,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06,Antenna Technology; Reconfigurable/Reprogrammable Communication Systems; Game Changing Technologies; Long Range Optical Telecommunications; Long Range Space RF Telecommunications; Space Networking
Topic O2,O2.01; O2.02; O2.03; O2.04; O2.05,"Secondary/Auxiliary Payload-to-Launch Vehicle Interface Technologies; Propulsion Technologies; Spaceport Enhancement & Improvements; Advanced Composite Tank and Materials Technologies; Reusable, Reliable, Low Cost Thermal Protection Systems"
Topic O3,O3.01; O3.02; O3.03; O3.04; O3.05; O3.06; O3.07,Mission Operations; ISS Utilization; ISS Life Extension and Operational Enhancements; Vehicle Integration and Ground Processing; Advanced Motion Imaging; Advanced Acoustic Monitoring Technologies; Cryogenic Fluid Management Technologies
Topic O4,O4.01; O4.02; O4.03,"Metric Tracking of Launch Vehicles; On-Orbit PNT (Positioning, Navigation, and Timing) Sensors and Components; Flight Dynamics Software and Technologies"
Topic A1,A1.01; A1.02; A1.03; A1.04; A1.05; A1.06; A1.07; A1.08; A1.09; A1.10; A1.11; A1.12; A1.13; A1.14; A1.15,Mitigation of Aircraft Aging and Durability-Related Hazards; Sensing and Diagnostic Capability for Aircraft Aging and Damage; Prediction of Aging Effects; Aviation External Hazard Sensor Technologies; Crew Systems Technologies for Improved Aviation Safety; Technologies for Improved Design and Analysis of Flight Deck Systems; Adaptive Aeroservoelastic Suppression; Robust Propulsion Control; Pilot Interactions with Adaptive Control Systems under Off-Nominal Conditions; Detection of Aircraft Anomalies; Diagnosis of Aircraft Anomalies; Prognosis of Aircraft Anomalies; Healing Material System Concepts for IVHM; Verification and Validation of Flight-Critical Systems; Data Mining
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09; A2.10,"Materials and Structures for Future Aircraft; Combustion for Aerospace Vehicles; Aero-Acoustics; Aeroelasticity; Aerodynamics; Aerothermodynamics; Flight and Propulsion Control and Dynamics; Aircraft Systems Analysis, Design and Optimization; Rotorcraft; Propulsion Systems"
Topic A3,A3.01; A3.02,Concepts and Technology Development (CTD); Systems Analysis Integration Evaluation (SAIE)
Topic A4,A4.01; A4.02,Ground Test Techniques and Measurement Technology; Flight Test Techniques and Measurement Technology
Topic A5,A5.01; A5.02; A5.03,Laminar Flow Ground Testing; Open Rotor Installed Thrust; Variable Cycle Propulsion
Topic S1,S1.01; S1.02; S1.03; S1.04; S1.05; S1.06; S1.07; S1.08; S1.09; S1.10; S1.11,"Lidar and Laser System Components; Active Microwave Technologies; Passive Microwave Technologies; Sensor and Detector Technology for Visible, IR, Far IR and Submillimeter; Detector Technologies for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Particles and Field Sensors and Instrument Enabling Technologies; Cryogenic Systems for Sensors and Detectors; In Situ Airborne, Surface, and Submersible Instruments for Earth Science; In Situ Sensors and Sensor Systems for Planetary Science; Space Geodetic Observatory Components; Lunar Science Instruments and Technology"
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05,Precision Spacecraft Formations for Telescope Systems; Proximity Glare Suppression for Astronomical Coronagraphy; Precision Deployable Optical Structures and Metrology; Advanced Optical Component Systems; Optics Manufacturing and Metrology for Telescope Optical Surfaces
Topic S3,S3.01; S3.02; S3.03; S3.04; S3.05; S3.06; S3.07; S3.08; S3.09; S3.10,"Command, Data Handling, and Electronics; Thermal Control Systems; Power Generation and Conversion; Propulsion Systems; Power Management and Storage; Guidance, Navigation and Control; Terrestrial and Planetary Balloons; Planetary Ascent Vehicles; Unmanned Aircraft and Sounding Rocket Technologies; Earth Entry Vehicle Systems"
Topic S4,S4.01; S4.02,De-orbit Devices/Technologies for Small Spacecraft; Miniature Integrated Payload Suites
Topic S5,S5.01; S5.02; S5.03; S5.04; S5.05; S5.06,"Planetary Entry, Descent and Landing Technology; Sample Collection, Processing, and Handling; Surface and Subsurface Robotic Exploration; Rendezvous and Docking Technologies for Orbiting Sample Capture; Extreme Environments Technology; Planetary Protection"
Topic S6,S6.01; S6.02; S6.03; S6.04; S6.05,Technologies for Large-Scale Numerical Simulation; Earth Science Applied Research and Decision Support; Algorithms for Science Data Processing and Analysis; Science Data Discovery in Extremely Large Data Environments; Software Engineering Tools for Scientific Models
Topic X1,X1.01; X1.02,"Regolith/Soil Transfer, Handling, & Processing of Extraterrestrial Material; Gas, Liquid, and Solid Processing to Produce Oxygen and Fuels from In-Situ Resources"
Topic X2,X2.01; X2.02; X2.03; X2.04,Earth-to-Orbit Propulsion; Non-Toxic In-Space Propulsion; Nuclear Thermal Propulsion; Electric Propulsion Systems
Topic X3,X3.01; X3.02; X3.03; X3.04,Process Technologies for Life Support System Loop Closure; Human Accommodations and Interfaces with Spacecraft Life Support; Monitoring and Control for Spacecraft Environmental Quality and Fire Protection; Thermal Control Systems for Human Spacecraft
Topic X4,X4.01; X4.02; X4.03,"Space Suit Pressure Garment and Airlock Technologies; Space Suit Life Support Systems; Space Suit Radio, Displays, Cameras, and Integrated Systems"
Topic X5,X5.01; X5.02; X5.03; X5.04; X5.05,Expandable Structures; Advanced Fabrication and Manufacturing of Metallic and Hybrid Materials for Lightweight Structures; Manufacturing of Polymer Matrix Composite (PMC) Structures; Spaceflight Structural Sensor Systems and NDE; Low Temperature Mechanisms
Topic X6,X6.01; X6.02,Automation for Vehicle and Crew Operations; Radiation Hardened/Tolerant and Low Temperature Electronics and Processors
Topic X7,X7.01,Robotic Systems for Human Exploration
Topic X8,X8.01; X8.02; X8.03; X8.04; X8.05,"Fuel Cells and Electrolyzers for Space Applications; Advanced Space-Rated Batteries; Space Nuclear Power Systems; Advanced Photovoltaic Systems; Advanced Power Conversion, Management, and Distribution (PMAD) for High Power Space Exploration Applications"
Topic X9,X9.01; X9.02,Ablative Thermal Protection Systems; Advanced Integrated Hypersonic Entry Systems
Topic X10,X10.01,Cryogenic Fluid Management Technologies
Topic X11,X11.01,Crew Exercise System
Topic X12,X12.01; X12.02; X12.03; X12.04,Spaceflight Auscultation Capability; Quantifying Bone Degradation with High Resolution Ultrasound; Lab to Marketplace: Commercializing Spaceflight Biomedical and Behavioral Research Tools; Batteries for Oxygen Concentrators
Topic X13,X13.01,Behavioral Health Monitoring Tools
Topic X14,X14.01; X14.02,Technologies for Non-Invasive Measurement and Analysis of Human Task Performance; Advanced Food Technologies
Topic X15,X15.01,Active Charged Particle and Neutron Measurement
Topic X16,X16.01,Alternative Methods for Ambient Preservation of Human Biological Samples During Extended Spaceflight and Planetary Operations
