Higher Topic,Focus Area,Content,Subtopics,Subtopics_encoding,Subtopics_name
Exploration Systems,Topic B5 Flight Payload Technologies and Outreach,"
 The Biological and Physical Research enterprise (BPR) has two organizing questions that can benefit from advanced sensors and devices: (1) How can we assure the survival of humans traveling far from Earth? and, (2) How does life respond to gravity and space environments? Proposals are sought in areas of nanotechnology, information technology, and biotechnology that are likely to help answer both questions. It is important for BPR to assure that its missions and experiments use new technologies, tools, models, and procedures that improve experiment integration and mission flight support. Proposals are sought for innovative ideas for experimental use of the Space Shuttle, International Space Station, and Free Flyers. Proposals are also sought for payload technologies that will support planned human exploration missions to the Moon and Mars. BPR has the need to educate and inspire the next generation to take the journey. The objective is to improve science literacy by engaging the public in missions and discoveries associated with BPR. Proposals are sought for innovative methods for analysis, metrics development audience assessment, and outreach product development. 
","B5.01Telescience and Flight Payload Operations; B5.02Flight Payload Logistics, Integration, Processing, and Crew Activities; B5.03Development of Improved Outreach Planning and Implementation Products",B5.01; B5.02; B5.03,"Telescience and Flight Payload Operations; Flight Payload Logistics, Integration, Processing, and Crew Activities; Development of Improved Outreach Planning and Implementation Products"
Aerospace Technology,Topic A1 Aviation Safety and Security,"
 The worldwide commercial aviation accident rate has been nearly constant over the past two decades. Although the rate is very low, increasing traffic over the years may result in the absolute number of accidents also increasing. Without improvements, doubling or tripling of air traffic by 2017 could lead to 50 or more major accidents a year. This number of accidents would have an unacceptable impact on the air transportation system. The goal of NASAs Aviation Safety and Security Program (AvSSP) is to develop and demonstrate technologies that contribute to a reduction in the fatal aviation accident rate. Research and technology will address accidents involving hazardous weather, controlled flight into terrain, human-error caused accidents and incidents, and mechanical or software malfunctions. The Program will also develop and integrate information technologies needed to build a safer aviation system and provide information for the assessment of situations and trends that indicate unsafe conditions before they lead to accidents. NASA researchers are also looking at ways to adapt aviation technologies already being developed to improve aviation security. The AvSSP is focusing on areas where NASA expertise could make a significant contribution to security: 1) the hardening of aircraft and their systems, 2) secure airspace operation technologies, 3) improved systems to screen passenger and cargo information, and 4) sensors designed to better detect threats. NASA seeks highly innovative proposals that will complement its work in Aviation Safety and Security in the following subtopic areas: 
","A1.01Crew Systems Technologies for Improved Aviation Safety; A1.02Aviation Safety and Security: Fire, Icing and Propulsion-Safe and Secure CNS Aircraft Systems; A1.03Technologies for Improved Aviation Security; A1.04Automated On-Line Health Management and Data Analysis",A1.01; A1.02; A1.03; A1.04,"Crew Systems Technologies for Improved Aviation Safety; Aviation Safety and Security: Fire, Icing and Propulsion-Safe and Secure CNS Aircraft Systems; Technologies for Improved Aviation Security; Automated On-Line Health Management and Data Analysis"
Aerospace Technology,Topic A2 Vehicle Systems,"
 The Vehicle Systems Program is about Outcomes for the Public Good: Environmentally Friendly Aircraft, Air Vehicles for Public Mobility, Superior Air Power, and New Aeronautical Missions. Vehicle Systems does this by looking at three objectives: transportation system concepts, vehicle capabilities, and enabling technologies. The Vehicle Systems Program is developing revolutionary technologies at the laboratory, component, or subsystem level. The majority of the resources are allocated for fundamental research to find breakthrough technologies through three projects: Tailored Lightweight Structures, Robust Reliability, and Electric Hybrid Propulsion. These projects develop the fundamental technologies needed to enable the change state in aeronautics. Existing and newfound knowledge is refined through field tests through three more projects: Efficient Aerodynamic Configurations, Ultra-Efficient Engine Technology, and Quiet Aircraft Technology. These projects focus on the integration of these technologies into subsystems and systems that can be developed with industry partners into highly used products. To measure the overall progress, Vehicle Systems accelerates the technology integration and maturation through two Vehicle Sector Integration Projects: Strategic Vehicle Architectures and Flight and System Demonstrations. The Strategic Vehicle Architectures Project conducts system level integration studies, and the Flight and Systems Demonstrations Project conducts concept development and research flight-testing. 
","A2.01Propulsion System Emissions and Noise Prediction and Reduction; A2.02Electric and Intelligent Propulsion Technologies for Environmentally Harmonious Aircraft; A2.03Revolutionary Technologies and Components for Propulsion Systems; A2.04Airframe Systems Noise Prediction and Reduction; A2.05Revolutionary Materials and Structures Technology for Propulsion  and Power Components; A2.06Smart, Adaptive Aerospace Vehicles With Intelligence; A2.07Revolutionary Flight Concepts; A2.08Modeling, Identification, and Simulation for Control of Aerospace Vehicles in Flight Test; A2.09Flight Sensors and Airborne Instruments for Flight Research",A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09,"Propulsion System Emissions and Noise Prediction and Reduction; Electric and Intelligent Propulsion Technologies for Environmentally Harmonious Aircraft; Revolutionary Technologies and Components for Propulsion Systems; Airframe Systems Noise Prediction and Reduction; Revolutionary Materials and Structures Technology for Propulsion  and Power Components; Smart, Adaptive Aerospace Vehicles With Intelligence; Revolutionary Flight Concepts; Modeling, Identification, and Simulation for Control of Aerospace Vehicles in Flight Test; Flight Sensors and Airborne Instruments for Flight Research"
Aerospace Technology,Topic A3 Airspace Systems,"NASA's Airspace Systems (AS) program is investing in the development of revolutionary improvements and modernization for the air traffic management (ATM) system. The AS Program will enable new aircraft, new aircraft technologies and air traffic technology to safely maximize operational efficiency, flexibility, predictability, and access into airspace systems. The major challenges are to accommodate projected growth in air traffic while preserving and enhancing safety; provide all airspace system users more flexibility and efficiency in the use of airports, airspace, and aircraft; reduce system delays; enable new modes of operation that support the FAA commitment to ""Free Flight"" and maintain pace with a continually evolving technical environment and provides for doorstep-to-destination transportation developments. AS Program objectives are:  Improve mobility, capacity, efficiency and access of the airspace system; Improve collaboration, predictability and flexibility for the airspace users; Enable modeling and simulation of air transportation systems; Enable runway-independent aircraft and general aviation operations; and Maintain system safety and environmental protection.  NASA is working to develop, validate, and transfer advanced concepts, technologies and procedures through partnership with the Federal Aviation Administration (FAA), other government agencies, and in cooperation with the U.S. aeronautics industry.",A3.01Next Generation Air-Traffic Management Systems,A3.01,Next Generation Air-Traffic Management Systems
Biological and Physical Research,Topic B1 Cross-Disciplinary Physical Sciences,"
 The NASA Office of Biological and Physical Research (OBPR) Physical Sciences Research Program carries out basic and applied research to enable the NASA Vision to improve life here, to extend life to there, and to find life beyond. Two primary research thrusts are implemented: 1) utilization of the space environment to advance the understanding of physical, chemical, and biophysical processes that are relevant to both Earth and space exploration applications, 2) research pre-requisite to the implementation of enabling technologies for human space exploration. Cross-disciplinary teaming across research areas is strongly encouraged in order to address scientific and technological challenges in complex engineering and living systems. The current areas of emphasis are focused on enabling technologies for space exploration:

1. Biophysics and Bioengineering research and development targeting the understanding of low-gravity physiological effects and the deployment of distributed biomedical sensors for targeted diagnostics; 
2. Advanced materials fundamental research and development for spacecraft structure, power and propulsion, radiation shielding, and advanced sensors; 
3. Micro and reduced-gravity engineering systems for closed-loop life support, power generation and propulsion, fire research, detection, and suppression; and 
4. In situ resources development for in-space fabrication and for extra-terrestrial exploration and habitation, including the development of advanced biology-inspired approaches for novel space technologies and robotic enhancement of human capabilities. 
","B1.01Exploiting Gravitational Effects for Combustion, Fluids, Synthesis, and Vibration Technology; B1.02Gravitational Effects on Biotechnology; B1.03Materials Science for In-Space Fabrication and Radiation Protection; B1.04Bioscience and Engineering",B1.01; B1.02; B1.03; B1.04,"Exploiting Gravitational Effects for Combustion, Fluids, Synthesis, and Vibration Technology; Gravitational Effects on Biotechnology; Materials Science for In-Space Fabrication and Radiation Protection; Bioscience and Engineering"
Biological and Physical Research,Topic B2 Fundamental Space Biology,"
 The NASA mission to explore the universe and search for life includes the goal of exploring the principles of biology through research in the unique natural laboratory of space. Important is the biological and physical research organizing question which asks: How does life respond to gravity and space environments? It includes four sub-questions:
1. How do space environments affect life at molecular and cellular levels?
2. How do space environments affect organisms throughout their lives? 
3. How do space environments influence interactions between organisms? 
4. How can life be sustained and thrive in space across generations? 
 
 Fundamental space biology is NASA's agency-wide program for the study of fundamental biological processes through space flight as well as ground-based research that supports the NASA mission. Proposals are sought for research that: 
1. Effectively make use of microgravity and other characteristics of space environments to enhance our understanding of fundamental biological processes; 
2. Develop the scientific and technological foundations for a safe, productive human presence in space for extended periods and in preparation for exploration; and 
3. Apply this knowledge and technology to improve our nation's competitiveness, education, and quality of life on Earth. 
 
 Ground-based and flight research is conducted on a broad spectrum of biological topics including cell and molecular biology, developmental and physiological biology, and how the space environment affects whole organisms and their interactions. 
",B2.01Understanding and Utilizing Gravitational Effects on Plants and Animals; B2.02Biological Instrumentation; B2.03Understanding and Utilizing Gravitational Effects on Molecular Biology and for Medical Applications,B2.01; B2.02; B2.03,Understanding and Utilizing Gravitational Effects on Plants and Animals; Biological Instrumentation; Understanding and Utilizing Gravitational Effects on Molecular Biology and for Medical Applications
Biological and Physical Research,Topic B3 Biomedical and Human Support Research,"
 NASA has the enabling goal to extend the duration and boundaries of human space flight to create new opportunities for exploration and discovery. In order to reach this goal, the Biological and Physical Research (BPR) enterp/rise is seeking the answers to several organizing questions. Two of the questions related to biomedical and human support research are as follows: (1) How can we assure the survival of humans traveling far from Earth? and (2) What technologies must we create to enable the next explorers to go beyond where we have been? (More details on these questions can be found in the BPR Bioastronautics Strategy (http://spaceresearch.nasa.gov/) and the Bioastronautics Critical Path Roadmap (http://criticalpath.jsc.nasa.gov). Proposals are sought that support the objectives of the enabling goal including supporting the biomedical and human support research necessary to ensure the health, safety, and performance of humans living and working in space. 
","B3.01Environmental Control of Spacecraft Cabin Atmosphere; B3.02Space Human Factors and Human Performance; B3.03Human Adaptation and Countermeasures; B3.04Food and Galley; B3.05Biomedical R&D of Noninvasive, Unobtrusive Medical Devices for Future Flight Crews; B3.06Waste and Water Processing for Spacecraft Advanced Life Support; B3.07Biomass Production for Planetary Missions; B3.08Software Architectures and Integrated Control Strategies for Advanced Life Support Systems; B3.09Radiation Shielding to Protect Humans; B3.10Sensors for Advanced Human Support Technology",B3.01; B3.02; B3.03; B3.04; B3.05; B3.06; B3.07; B3.08; B3.09; B3.10,"Environmental Control of Spacecraft Cabin Atmosphere; Space Human Factors and Human Performance; Human Adaptation and Countermeasures; Food and Galley; Biomedical R&D of Noninvasive, Unobtrusive Medical Devices for Future Flight Crews; Waste and Water Processing for Spacecraft Advanced Life Support; Biomass Production for Planetary Missions; Software Architectures and Integrated Control Strategies for Advanced Life Support Systems; Radiation Shielding to Protect Humans; Sensors for Advanced Human Support Technology"
Biological and Physical Research,Topic B4 Partnerships and Market Driven Research,"
 NASAs Space Product Development (SPD) division supports the strategic missions to understand and protect our home planet and to explore the universe and search for life. It also seeks to find answers to the biological and physical research organizing sub-question that asks: How can research partnershipsboth market driven and interagencysupport our national goals, such as contributing to economic growth and sustaining human capital in science and technology? Innovative proposals are sought for market driven technologies and processes that will support NASAs goals and include dual-use market needs on Earth. There are four initiative areas where NASA space research has strong potential for dual market use on Earth: 

1. Self-calibrating and self-repairing bio-MEMS devices for such uses as monitoring crew health in space along with dual applications on Earth for monitoring biological/physical interfaces; 
2. Space resource utilization techniques that enable the use of in situ planetary resources along with dual applications on Earth that create products by combustion synthesis of materials, extraction of volatiles, separation of solids; 
3. Spacecraft technologies that enhance spacecraft inspections, robotic processing, or Free Flyer experiments with dual applications on Earth, such as high density video and advanced sensor networks; 
4. Life support technologies that enable health monitoring, provide functional foods and nutraceuticals and environmentally clean habitats with dual applications on Earth, such as high-resolution wireless ultrasound for patient monitoring, improved crop productions, and new forms of drug delivery. Small business applicants must have strong intentions of becoming a part of NASAs Research Partnering Center initiatives leading to partnered Phase III contracts for products to be used in space and on the Earth. 
",B4.01Space Market Driven Research; B4.02Market Driven Space Exploration Payloads; B4.03Market Driven Space Infrastructure; B4.04Partnering Innovations for Security and Safety,B4.01; B4.02; B4.03; B4.04,Space Market Driven Research; Market Driven Space Exploration Payloads; Market Driven Space Infrastructure; Partnering Innovations for Security and Safety
Earth Science,Topic E1 Instruments for Earth Science Measurements,"
 NASA's Earth Science Enterprise (ESE) is studying how our global environment is changing. Using the unique perspective available from space and airborne platforms, NASA is observing, documenting, and assessing large-scale environmental processes with emphasis on atmospheric composition, climate, carbon cycle and ecosystems, the Earths surface and interior, the water and energy cycles, and weather. A major objective of the ESE instrument development programs is to implement science measurement capabilities with small or more affordable spacecraft so development programs can meet multiple mission needs and therefore, make the best use of limited resources. The rapid development of small, low cost remote sensing and in situ instruments is essential to achieving this objective. Consequently, the objective of the Instruments for Earth Science Measurements SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of Earth observing instruments, and enable new Earth observation measurements. The following subtopics are concomitant with this objective and are organized by measurement technique. 
",E1.01Passive Optics; E1.02Lidar Remote Sensing; E1.03In Situ Sensors; E1.04Passive Microwave; E1.05Active Microwave; E1.06Passive Infrared - Sub Millimeter; E1.07Thermal Control for Instruments,E1.01; E1.02; E1.03; E1.04; E1.05; E1.06; E1.07,Passive Optics; Lidar Remote Sensing; In Situ Sensors; Passive Microwave; Active Microwave; Passive Infrared - Sub Millimeter; Thermal Control for Instruments
Earth Science,Topic E2 Platform Technologies for Earth Science,"
 NASA is fostering innovations that support implementation of the Earth Science (ES) Enterprise program, an integrated international undertaking to study the Earth system. ES uses the unique perspective available from orbit to study land cover and land use changes, short and long term climate variability, natural hazards, and environmental changes. Additionally, ES uses terrestrial and airborne measurements to complement those acquired from Earth orbit. ES has a parallel development effort to these platforms that includes the largest ground and data system ever undertaken, which will provide the facility for command and control of flight segments and for data processing, distribution, storage, and archival of vast amounts of Earth science research data. The Earth Science Program defines platforms as the host systems for ES instruments, i.e., they provide the infrastructure for an instrument or suite of instruments. Traditionally, the term 'platform' would be synonymous with 'spacecraft,' and it certainly does include spacecraft. 'Platform,' however, is intended to be much broader in application than spacecraft and is intended to include non-traditional hosts for sensors and instruments such as airborne platforms (piloted and unpiloted aircraft, balloons, and drop sondes), terrestrial platforms, sea surface and subsurface platforms, and even surface penetrators. These application examples are given to illustrate the wide diversity of possibilities for acquiring ES data consistent with the future vision of the Earth Science Program and indicate types of platforms for which technology development is required. 
","E2.01Guidance, Navigation and Control; E2.02Command and Data Handling; E2.03Advanced Communication Technologies for Near-Earth Missions; E2.04Onboard Propulsion; E2.05Energy Storage Technologies; E2.06Energy Conversion for Space Applications; E2.07Platform Power Management and Distribution",E2.01; E2.02; E2.03; E2.04; E2.05; E2.06; E2.07,"Guidance, Navigation and Control; Command and Data Handling; Advanced Communication Technologies for Near-Earth Missions; Onboard Propulsion; Energy Storage Technologies; Energy Conversion for Space Applications; Platform Power Management and Distribution"
