Higher Topic,Focus Area,Subtopic,Lead Center,Content,Participating Center(s)
TA1 Launch Propulsion Systems,TA1.3 Air Breathing Propulsion Systems,A1.07Propulsion Efficiency - Turbomachinery Technology for Reduced Fuel Burn, GRC,"System and technology studies have indicated that advanced gas turbine propulsion will remain critical for future subsonic transports. Turbomachinery includes the rotating machinery in the high and low pressure spools, transition ducts, purge and bleed flows, casing and hub. We are interested in traditional gas turbine turbomachinery, as well as in innovative concepts as exo-skeletal engines, intercooled gas turbines, cooled cooling air, waste heat recovery, and other concepts. NASA is looking for improvement in aeropropulsive efficiency. Areas of interest include: Improved components of current architectures and cycles, novel components and cycles to improve cycle limits, and novel architectures to improve mission efficiency limits. In the compression system, advanced concepts and technologies are required to enable higher overall pressure ratio, high stage loading and wider operating range. In the turbine, the very high cycle temperatures demanded by advanced engine cycles place a premium on the cooling technologies required to ensure adequate life of the turbine component. New capabilities as well as challenges are provided with expected increased use of ceramic matrix composites (CMC’s). Reduced cooling flow rates and/or increased cycle temperatures enabled by these technologies have a dramatic impact on the engine performance. Such improvements will enable reduced fuel burn, reduced weight and part count, and will enable advanced variable cycle engines for various missions. Innovative proposals in the following turbomachinery and heat transfer areas are solicited: Small core turbomachinery - Higher fan Bypass Ratio (BPR) will require more compact engine core sizes rather than by growing the fan diameter, resulting in large tip/endwall and purge flow losses. Tip-leakage mitigation technologies for small-core turbomachinery and concept for circumvent the issue via innovative gas turbine designs. Desensitizing to losses due to tip leakage, secondary flows, seals, purge flows, and cooling air. Shorter transition ducts. Optimized integrated combustor – turbine systems - Integration concepts of combustor and turbine for improved overall and component performance are being sought. Flow control in turbomachinery - Advanced turbomachinery active and passive flow control concepts to enable increased high stage loading in single and multi-stage axial compressors while maintaining or improving aerodynamic efficiency and operability. Technologies are sought that would reduce dependence on traditional range extending techniques (such as variable inlet guide vane and variable stator geometry) in compression systems. These may include flow control techniques near the compressor end walls and on the rotor and stator blade surfaces. Technologies are sought to reduce tip clearance leakage as well as rapid acting tip clearance control in compressors and turbines. Technologies are sought to eliminate flow separation in low pressure turbines and transition ducts, improve off-design operation and enable variable cycle operation. Cooling and thermal management - Novel turbine cooling concepts are sought to enable very high turbine cooling effectiveness. The concepts are mainly for ceramic-based turbine materials such as ceramic matrix composite (CMC) vanes and blades. The availability of advanced manufacturing techniques may enable improved cooling designs beyond the current state-of-the-art. These concepts may include film cooling concepts, internal cooling concepts, and innovative methods to couple the film and internal cooling designs. Innovative high performance heat exchangers to cool the cooling air and for intercooling cycles are sought. Computational technologies for turbomachinery - Computational technologies allowing accurate predictions of turbomachinery flows and heat transfer including active and passive flow control features and flow structures. Advanced turbulence and LES models that can account for complex three-dimensional flows common in turbomachinery. Models of flow control devices that enable incorporating them in RANS based CFD codes. Particular interest is in CFD method based on overset moving grids that will enable flexibility in studies of small features as cooling holes and active and passive flow control devices. Interfacing LES and RANS codes for unsteady rotating bounded flows. As engines get smaller, interaction issues dominate and CFD methods to enable simulation of the interactions are needed. Read less>>",
TA1 Launch Propulsion Systems,TA1.5 Unconventional/Other Propulsion Systems,S3.06Terrestrial and Planetary Balloons, GSFC,"Terrestrial Balloons NASA’s Scientific Balloons provide practical and cost effective platforms for conducting discovery science, development and testing for future space instruments, as well as training opportunities for future scientists and engineers. Balloons can reach altitudes above 36 kilometers, with suspended masses up to 3600 kilograms, and can stay afloat for several weeks. Currently, the Balloon Program is on the verge of introducing an advanced balloon system that will enable 100 day missions at mid-latitudes and thus resemble the performance of a small spacecraft at a fraction of the cost. In support of this development, NASA is seeking innovative technologies in three key areas: Power Storage Improved and innovative devices to store electrical energy onboard balloon payloads are needed. Long duration balloon flights can experience 12 hours or more of darkness, and excess electrical power generated during the day from solar panels needs to be stored and used. Improvements are needed over the current state of the art in power density, energy density, overall size, overall mass and/or cost. Typical parameters for balloon are 28 VDC and 100 to 1000 watts power consumption. Rechargeable batteries are presently used for balloon payload applications. Lithium Ion rechargeable batteries with energy densities of 60 watt-hours per kilogram are the current state of the art. Higher power storage energy densities, and power generation capabilities of up to 2000 watts are needed for future support. Satellite Communications Improved and innovative downlink bitrates using satellite relay communications from balloon payloads are needed. Long duration balloon flights currently utilize satellite communication systems to relay science and operations data from the balloon to ground based control centers. The current maximum downlink bit rate is 150 kilobits per second operating continuously during the balloon flight. Future requirements are for bit rates of 1 megabit per second or more. Improvements in bit rate performance, reduction in size and mass of existing systems, or reductions in cost of high bit rate systems are needed. TDRSS and Iridium satellite communications are currently used for balloon payload applications. A commercial S-band TDRSS transceiver and mechanically steered 18 dBi gain antenna provide 150 kbps continuous downlink. TDRSS K-band transceivers are available but are currently cost prohibitive. Open port Iridium service is under development, but the operational cost is prohibitive. UV Protection Technologies Innovative, economic, and applicable processes or materials to protect the balloon flight train subsystems and the balloon components are needed. Long duration balloon missions on the order of 100 days will expose the balloon flight train subsystems such as the parachute, and the balloon components such as the high strength tendons, to the harmful effects of UV exposure. The impact may lead to shorter duration missions and/or severe damage to the science payloads. Innovative concepts are need for the protection of these subsystems or components to eliminate or minimize these adverse UV effects. The proposed innovative concepts shall be economic and practical. It shall be easy to implement with no major impact on balloon design, fabrication, packaging, or launch operations. Planetary Balloons Innovations in materials, structures, and systems concepts have enabled the lifetime of Titan and Venus buoyant vehicles to play an expanding role in NASA's future Solar System Exploration Program. Balloons are expected to carry scientific payloads at Titan and Venus that will perform in-situ investigations of their atmospheres and near surface environments. Both Titan and Venus feature extreme environments that significantly impact the design of balloons for those two worlds and efficient use of energy is critical. Proposals are sought in the following areas: Floating Platforms for Venus (New) NASA is interested in conducting long term monitoring of the Venus atmosphere and the signatures of seismic and volcanic events from the planetary surface using floating vehicles at altitudes of between 30 and 45 km for periods in excess of five years. Concepts that use ammonia or water as a source of buoyancy as well as conventional light gases hydrogen and helium should be considered. A primary focus should be on the design of the flotation device and the materials for achieving long duration operation. The temperature at 45 km is roughly 110° C; at 30 km it is about 225° C. It is expected that a Phase I effort will consist of a system-level design and a proof-of-concept experiment on one or more key components. Altitude and Positional Control for Titan Aerial Vehicles (NEW) NASA is interested in Titan aerial vehicles that can both change altitude and also execute controlled movements in latitude and longitude in order to target surface locations of interest. Innovative concepts are sought that can minimize the use of scarce power resources and can achieve controlled motions in latitude under all anticipated atmosphere conditions and in longitude for parts of the Titan year. The targeted capabilities for the system are as follows: altitude range between the surface and 15 km, system mass of payload, power and communications systems of 100 kg; average power usage for horizontal and vertical mobility of less than 50 watts. It is expected that a Phase I effort will consist of a complete system-level design and a proof-of-concept experiment on one or more key components. Read less>>", JPL
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,A1.03Low Emissions/Clean Power - Combustion Technology/Emissions Measurement Techniques, GRC,"Achieving low emissions and finding new pathways to cleaner power are critical for the development of future air vehicles. Vehicles for subsonic and supersonic flight regimes will be required to operate on a variety of certified aircraft fuels and emit extremely low amounts of gaseous and particulate emissions to satisfy increasingly stringent emissions regulations. Future vehicles will be more fuel-efficient which will result in smaller engine cores operating at higher pressures. Future combustors will also likely employ lean burn concepts which are more susceptible to combustion instabilities. Fundamental combustion research coupled with associated physics based model development of combustion processes will provide the foundation for technology development critical for these vehicles. Combustion involves multi-phase, multi-component fuel, turbulent, unsteady, 3-D, reacting flows where much of the physics of the processes are not completely understood. CFD codes used for combustion do not currently have the predictive capability that is typically found for non-reacting flows. Low emissions combustion concepts require very rapid mixing of the fuel and air with a minimum pressure loss to achieve complete combustion in the smallest volume. Areas of specific interest where research is solicited include: Development of laser-based diagnostics for quantitative spatially and temporally resolved measurements of fuel/air ratio in reacting flows at elevated pressure. Development of ultra-sensitive instruments for determining the size-dependent mass of combustion generated particle emissions. Low emissions combustor concepts for small high pressure engine cores. Development of miniature high-frequency fuel modulation valve for combustion instability control able to withstand the surrounding high-temperature air environment. Infusion/Commercial Potential – These developments will impact future aircraft engine combustor designs (lower emission, control instabilities) and may have commercial applications in other gas-turbine based industries (such as power generation and industrial burners). The modeling and results can be and will be employed in current and future hydrocarbon rocket engine designs (improving combustion efficiency, ignition, stability, etc.).Read less>>", LaRC
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,H2.04Cryogenic Fluid Management for In-Space Transportation, GRC,"This subtopic solicits technologies related to cryogenic propellant (such as hydrogen, oxygen, and methane) storage, and transfer to support NASA's exploration goals. This includes a wide range of applications, scales, and environments consistent with future NASA missions. Such missions include but are not limited to the Exploration Upper Stage (EUS), In-situ Resource Utilization in cooperation with Mars Landers, and the evolvable Mars Campaign. Specifically, listed in order of importance: High Power/High Efficiency cryocoolers and cryocooler components (specifically compressors, turbines/expanders, or recuperative heat exchangers) for systems designed to reject >150 W at 90 K with a specific power of less than 15 W (input power)/W (heat rejection) and specific mass of less than 12 kg/W (of heat rejection) at the design point. The cryocooler components should be suitable for space flight. Novel structural solutions that can be partially disconnected post launch which the upper stage has successfully reached orbit. Full scale structural solutions (5 – 10 m diameter tanks) should be able to support > 20 mT at up to 5 g’s sustained compressive loads and have no structural modes below 50 Hz. Post disconnection, the supports should still be able to support 20 mT, but at 0.2 g’s sustained compressive loads. Solutions (which do not have to be full scale at this point) should also attempt to minimize the residual heat load to the propellant tank after disconnection. Liquid acquisition devices (or propellant management devices) capable of preventing gas ingestion into engine feedlines in low gravity. The liquid acquisition devices should maintain bubble-free flows of 37 liters per minute while having an expulsion efficiency of 97%. Lightweight fluid coupling for low (< 50 psi, Cv > 5) pressure cryogenic liquids with low internal (~ 1 sccm) and external (~ 3 sccm) leakage on both halves. Coupling should be designed either for ease of use by Astronauts (i.e., bulky gloves and minimal force) or easy automation. Read less>>"," JSC, MSFC"
TA2 In-Space Propulsion Technologies,TA2.1 Chemical Propulsion,H2.01LOX/Methane In-Space Propulsion, GRC,"NASA is developing high thrust in-space chemical propulsion capabilities to enable human and robotic missions into the proving ground (Mars and beyond). Successful proposals are sought for focused investments on key technologies and design concepts that may transform the path for future exploration of Mars, while providing component and system-level cost and mass savings. In-space propulsion is defined as the development and demonstration of technologies for ascent, orbit transfer, pulsing attitude/reaction control (RCS), and descent engines. The goal of this subtopic is to examine novel technology options that include the use of additive manufacturing or other low cost processes which save mass and/or cost compared to current state-of-the-art (SOA) technologies and fabrication methods. Technologies of interest for operation with liquid oxygen and methane specifically are sought. Proposers shall show how their technology works and provide the following: Assessment of SOA with the key performance parameters (KPP) of their choosing (such as performance, mass, response time, etc.), including specifics which may be referenced in backup material - provide SOA for each major technology element in the proposal. Address the outstanding technology performance being promised and the degree to which the concept is new, different, and important. Particularly how the technology and/or fabrication technique proposed saves cost and/or mass is desired. Provide quantitative assertions (e.g., x% improvement of y, z kg of mass savings, xx% in cost savings, etc.) to the advancement over the SOA. Phase I Deliverables - Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a demonstration. Bench or lab-level demonstrations are desirable. The technology concept at the end of Phase I should be at a TRL of 4 to 5. Phase II Deliverables - Emphasis should be placed on developing and demonstrating the technology under simulated mission conditions. The proposal shall outline a path showing how the technology could be developed into mission-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. The technology concept at the end of Phase II should be at a TRL of 5 to 6. For reference, current anticipated performance goals for liquid oxygen/liquid methane systems are: Reaction control thruster development in the 100-800 lbf thrust class. The reaction control engines would operate cryogenic liquid-liquid for applications requiring integration with main engine propellants; or would operate gas-gas or gas-liquid for small total impulse type applications. RCEs operating on liquid cryogenic propellant(s) should be able to tolerate operation for limited duty cycles with gaseous or saturated propellants of varying quality. Integrated RCS (IRCS) capability desired (common propellant tanks for RCS and main engines). Descent pump-fed engine development with 50,000 lbf thrust and a minimum vacuum specific impulse of 360-sec. The propulsion system should be capable of stable throttling to 5:1 (20% power). Space survival time of greater than 3 years. Ascent pump-fed engine development with 25,000 lbf thrust and a minimum vacuum specific impulse of 360-sec. The propulsion system should be capable of stable throttling to 5:1 (20% power). Space survival time of greater than 4 years. Integrated Propulsion and Feed System technologies, such as for integrated reaction control systems (RCS). This would include thermal conditioning features, self-pressurization/re-pressurization control, and system isolation control. For reference, some specific propulsion technologies of interest are included below. In all cases – interest in using additive manufacturing or novel fabrication methods to save cost and mass are desired to achieve the specific component objectives identified below: Injector concepts with throttle range greater than 4:1 while maintaining stable combustion over the range of operation and inlet conditions and meeting performance goals at full throttle condition. Regenerative cooled combustion chamber technologies which offer improved performance, especially at sub-critical or trans-critical conditions, and provide adequate chamber life. This includes methods for addressing differential boiling within regenerative channels and/or start up transients (gas/gas, to two-phase, to high-quality liquid/liquid) for both fuel and oxidizer circuits. Turbopump technologies specific to liquid methane that are lightweight with a long shelf life that can meet deep-throttle requirements, including small durable high speed turbines, high speed lightweight electric direct current (DC) motor driven pumps, high fatigue life impellers, zero net positive suction head (NPSH) inducers, low leakage seals, and long life in-situ propellant fed bearings. Engine valves with a focus on light-weight (at the system level, considering supporting pneumatics, batteries, etc.), fast-acting, low-leakage throttle valves, which meet the following performance considerations: Maintain consistent mixture ratio (MR) over the throttle range, 50% (minimum) force margin, cold and warm operations, easily chilled in, with leakage in the 10-4 to 10-6 standard cubic centimeters per second (SCCS) range (gaseous phase oxygen and methane). Read less>>"," JSC, MSFC"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,S3.02Propulsion Systems for Robotic Science Missions, GRC,"The Science Mission Directorate (SMD) needs spacecraft with more demanding propulsive performance and flexibility for more ambitious missions requiring high duty cycles, more challenging environmental conditions, and extended operation. Planetary spacecraft need the ability to rendezvous with, orbit, and conduct in-situ exploration of planets, moons, and other small bodies in the solar system (http://solarsystem.nasa.gov/multimedia/download-detail.cfm?DL_ID=742). Future spacecraft and constellations of spacecraft will have high-precision propulsion requirements, usually in volume- and power-limited envelopes. This subtopic seeks innovations to meet SMD propulsion in chemical and electric propulsion systems related to sample return missions to Mars, small bodies (like asteroids, comets, and Near-Earth Objects), outer planet moons, and Venus. Additional electric propulsion technology innovations are also sought to enable low cost systems for Discovery class missions, and low-power, nuclear electric propulsion (NEP) missions. Roadmaps for propulsion technologies can be found from the National Research Council (http://www.nap.edu/openbook.php?record_id=13354&page=168(link is external)) and NASA’s Office of the Chief Technologist (http://www.nasa.gov/pdf/501329main_TA02-InSpaceProp-DRAFT-Nov2010-A.pdf). Proposals should show an understanding of the state of the art, how their technology is superior, and of one or more relevant science needs. The proposals should provide a feasible plan to fully develop a technology and infuse it into a NASA program. Advanced Electric Propulsion Components This subtopic also seeks proposals that explore uses of technologies that will provide superior performance in for high specific impulse/low mass electric propulsion systems at low cost. These technologies include: High thrust-to-power ion thruster component or system technologies. Key characteristics include: Power < 14 kW. T/P > SOA Hall Effect Thrusters at comparable specific impulse ranging from 1500-3000 seconds. Lifetimes > 10,000 hours. Thruster components including, but not limited to, advanced cathodes, rf devices, advanced grids, lower-cost components. Any long-life, electric propulsion technology between 1 to 10 kW/thruster that would enable a low-power nuclear electric propulsion system based on a kilopower nuclear reactor. Instrumentation and support equipment that will enable or improve ground testing of electric propulsion power processor units. Secondary Payload Propulsion The secondary payload market shows significant promise to enable low cost science missions. Launch vehicle providers, like SLS, are considering a large number of secondary payload opportunities. The majority of small satellite missions flown are often selected for concept or component demonstration activities as the primary objectives. Opportunities are anticipated to select future small satellite missions based on application goals (i.e., science return). However, several technology limitations prevent high value science from low-cost small spacecraft, such as post deployment propulsion capabilities, Additionally, propulsion systems often place constraints on handling, storage, operations, etc. that may limit secondary payload consideration. It is desired to have a wide range of Delta-V capability to provide 100-1000s of m/s. Specifically, proposals are sought for: Chemical and/or electric propulsion systems with green/non-toxic propellants, RF devices, Improved operational life over SOA propulsion systems, and 1U sized solar electric ionized gas propulsion unit with delta V of 1-8 km/s for 6U CubeSat, and a clear plan for demonstrated constellation station keeping capability for 6 months in LEO. In addressing technology requirements, proposers should identify potential mission applications and quantify the expected advancement over state-of-the-art alternatives. Note to Proposer - Topics under the Human Exploration and Operations Directorate also addresses advanced propulsion. Proposals more aligned with exploration mission requirements should be proposed in H2. Read less>>"," JPL, MSFC"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,H2.02Nuclear Thermal Propulsion (NTP), MSFC,"Solid core NTP has been identified as an advanced propulsion concept which could provide the fastest trip times with fewer SLS launches than other propulsion concepts for human missions to Mars over a variety of mission years. The current NASA Strategic Space Technology Investment Plan states NTP is a high priority technology needed for future human exploration of Mars. NTP had major technical work done between 1955-1973 as part of the Rover and Nuclear Engine for Rocket Vehicle Application (NERVA) programs. A few other NTP programs followed including the Space Nuclear Thermal Propulsion (SNTP) program in the early 1990's. The NTP concept is similar to a liquid chemical propulsion system, except instead of combustion in the thrust chamber, a monopropellant is heated with a fission reactor (heat exchanger) in the thrust chamber. In addition, the engine components and surrounding structures are exposed to a radiation environment formed by the reactor during operation. This solicitation will examine a range of modern technologies associated with NTP using solid core nuclear fission reactors and technologies needed to ground test the engine system and components. The engines are pump fed ~15,000-35,000 lbf with a specific impulse goal of 900 seconds (using hydrogen), and are used individually or in clusters for the spacecraft's primary propulsion system. The NTP can have multiple start-ups (>4) with cumulative run time >100 minutes in a single mission, which can last a few years. The Rover/NERVA program ground tested a variety of engine sizes, for a variety of burn durations and start-ups with the engine exhaust released to the open air. Current regulations require exhaust filtering of any radioactive noble gases and particulates. The NTP primary test requirements can have multiple start-ups (>8) with the longest single burn time ~50 minutes. Specific technologies of interest to meet the proposed requirements include: Reactor fuel element designs with high temperature (> 2600K), high power density (>5 MW/L) to maximize hydrogen propellant heating. New additive manufacturing processes to quickly manufacture the fuel with uniform channel coatings and/or claddings to reduce fission product gas release and particulates into the engine's exhaust stream. Composite or carbide designs with low burn-up coating technology. Ceramic-metallic (cermet) based nuclear fuels need improved methods to apply W coatings on small UO2 spheres and the best way to bond W-UO2 wafers with integral claddings. Concepts to cool down the reactor decay heat after shutdown to minimize the amount of open cycle propellant used in each engine shutdown. Depending on the engine run time for a single burn, cool down time can take many hours. Low risk reactor design features which allow more flexible criticality control during burns beyond the reactor circumferential rotating control drums, and/or provide nuclear safety for ground processing, launch, and possible launch aborts. Control of criticality with water submersion and compaction accidents. Concept for quick restart of reactor (2-6 hours) after 30-40 minute burns and accounting for Xe135 buildup. Ground test engine effluent processing technologies for efficient containment and/or filtering of radioactive particles and noble gases, and management of high temperature, high flow hydrogen exhausts (16-39 lbs/sec). In particular, to produce large quantities of hot hydrogen, and develop robust materials, advanced instruments and monitoring systems capable of operating in extreme temperature and radiation environments. Advanced materials to resist high-temperature (<4400° F), hydrogen embrittlement and radiation environment. Efficient non-nuclear generation of high temperature (<5000° F), high flow rate hydrogen (<39 lb/sec). Effluent processing technologies for efficient filtering and management of high temperature, high flow hydrogen exhausts. Specific interests include: Filtering of radioactive particles and debris from exhaust stream having an efficiency rating greater than 99.9%. Removal of radioactive halogens, noble gases and vapor phase contaminants from a high flow exhaust stream with an efficiency rating greater than 99.5% Applicable Integrated System Health Monitoring and autonomous test operations control systems that provide diagnostic capability to detect reactor fuel degradation in the engine exhaust. Technologies providing an affordable low power (<20 MW) nuclear furnace to ground test a variety of fuel elements at conditions replicating a full scale NTP engine. For all above technologies, research should be conducted to demonstrate technical feasibility during Phase I and show a path towards Phase II hardware/software demonstration with delivery of a demonstration unit or software package for NASA testing at the completion of the Phase II contract. Phase I Deliverables - Feasibility study, including simulations and measurements, proving the proposed approach to develop a given product (TRL 2-3). Verification matrix of measurements to be performed at the end of Phase II, along with specific quantitative pass-fail ranges for each quantity listed.Phase II Deliverables - Working engineering model of proposed product, along with full report of component and/or breadboard validation measurements, including populated verification matrix from Phase I (TRL 4-5). Opportunities and plans should also be identified and summarized for potential commercialization. Read less>>"," GRC, SSC"
TA2 In-Space Propulsion Technologies,TA2.2 Non-Chemical Propulsion,H2.03High Power Electric Propulsion, GRC,"The goal of this subtopic is to develop innovative, high-power (>100-kW) electric propulsion systems. High-power solar or nuclear electric propulsion may enable dramatic mass and cost savings for lunar and Mars cargo missions, including Earth escape and near-Earth space maneuvers, at power levels that enable a wide range of exploration missions. Innovations and advancements leading to improvements in the end-to-end performance of high power electric propulsion systems are of interest. Methods are sought to increase overall system efficiency; improve system and/or component life or durability; reduce system and/or component mass, complexity, and development issues; or provide other definable benefits. In general, thruster systems providing total impulse values greater than 107 N-sec are desired. Specific impulse values of interest range from a minimum of 1500-sec for Earth-orbit transfers to over 6000-sec for planetary missions. Advanced high-power concepts that provide quantifiable benefits over state-of-the-art electric propulsion systems are to be developed. Key figures of merit include: thrust density (to decrease thruster footprint), thruster efficiency (>60%), lifetime (>10’s khrs), reliability, and scalability. A practical and affordable method of performing relevant ground testing should be discussed, taking into account the pumping capabilities of state-of-the-art vacuum facilities. The proposed propulsion system should be mindful of the development of an efficient, low specific mass power processing unit, with an emphasis on reducing complexity and cost. Specific technologies of interest include but are not limited to: Nesting/clustering moderately powered thrusters to reach a desired total throughput: This component development can include: an assessment of system performance and plasma plume interactions, a thermal characterization of the system, and an assessment of the system lifetime during multi-thruster operation. The impact of multi-thruster operation on the power processing unit and feed system performance should also be addressed. High-current electromagnetic accelerators that directly addresses thruster efficiency and lifetime. This component development can include an investigation of electrode geometries, thermal management designs, and material selection to mitigate electrode erosion, the major lifetime limiter. Innovative, high efficiency power processor architectures/convertors for high-amperage thrusters that can be evolved into space flight hardware and survive thermal and radiation environments are desired. Scalable, high-perveance gridded ion engines with thrust densities that significantly exceed the current state-of-the-art (~3 N/m2 for the NEXT ion engine). This component development can include the development of novel designs of the discharge chamber and ion optics for maximizing anode current and beam extraction capability, respectively. Long-life hollow cathode technologies for use with high-power electrostatic engines. The cathodes should be tested in a relevant environment (e.g., comparable magnetic field environment) and provide sufficient current densities for high-power thruster operation. Components for inductively pulsed plasma thrusters, in particular highly accurate flow controllers and fast acting valves; and solid state switches capable of high current (MA), high repetition rate (up to 1-kHz), long life (≥ 109 pulses) operation. High-voltage converters for pulsed power applications with a high-efficiency, low-complexity architecture that can be evolved into space flight hardware and survive thermal and radiation environments are desired. Advanced manufacturing methods for the fabrication of high power thruster components and associated systems; of particular interest is additive manufacturing for complex geometries, which may include: ceramic insulators, ion optics, and magnetic poles. Figures of merit include lower cost, rapid turnaround, and material and structural integrity comparable to or better than components or systems produced using current fabrication methods. Proposals addressing advanced technology concepts should include a realistic and well-defined roadmap defining critical technology development milestones leading to an eventual flight system. Sub-scale, proof-of-concept experiments are highly desired for the Phase I effort. In addressing technology requirements, proposers should identify candidate thruster systems and potential mission applications that would benefit from the proposed technology. Read less>>"," JPL, MSFC"
TA3 Space Power and Energy Storage,TA3.1 Power Generation,S3.01Power Generation and Conversion, GRC,"Future NASA science missions will employ Earth orbiting spacecraft, planetary spacecraft, balloons, aircraft, surface assets, and marine craft as observation platforms. Proposals are solicited to develop advanced power-generation and conversion technologies to enable or enhance the capabilities of future science missions. Requirements for these missions are varied and include long life, high reliability, significantly lower mass and volume, higher mass specific power, and improved efficiency over the state of practice for components and systems. Other desired capabilities are high radiation tolerance and the ability to operate in extreme environments (high and low temperatures and over wide temperature ranges). While power-generation technology affects a wide range of NASA missions and operational environments, technologies that provide substantial benefits for key mission applications/capabilities are being sought in the following areas: Photovoltaic Energy Conversion Photovoltaic cell, blanket, and array technologies that lead to significant improvements in overall solar array performance (i.e., conversion efficiency >33%, array mass specific power >300watts/kilogram, decreased stowed volume, reduced initial and recurring cost, long-term operation in high radiation environments, high power arrays, and a wide range of space environmental operating conditions) are solicited. Photovoltaic technologies that provide enhancing and/or enabling capabilities for a wide range of aerospace mission applications will be considered. Technologies that address specific NASA Science mission needs include: Photovoltaic cell and blanket technologies capable of low intensity, low-temperature operation applicable to outer planetary (low solar intensity) missions. Photovoltaic cell, blanket and array technologies capable of enhancing solar array operation in a high intensity, high-temperature environment (i.e., inner planetary and solar probe-type missions). Solar arrays to support Extreme Environments Solar Power type missions, including long-lived, radiation tolerant, cell and blanket technologies capable of operating in environments characterized by varying degrees of light intensity and temperature. Lightweight solar array technologies applicable to science missions using solar electric propulsion. Current science missions being studied require solar arrays that provide 1 to 20 kilowatts of power at 1 AU, greater than 300 watts/kilogram specific power, operation in the range of 0.7 to 3 AU, low stowed volume, and the ability to provide operational array voltages up to 300 volts. Stirling Power Conversion: advances in, but not limited to, the following Novel Stirling convertor configurations that provide high efficiency (>25%), low mass, long life (>10 yrs), and high reliability for use in 100-500 We Stirling radioisotope generators. Advanced Stirling convertor components including hot-end heat exchangers, cold-end heat exchangers, regenerators, linear alternators, engine controllers, and radiators. Innovative Stirling generator features that improve the fault tolerance (e.g., heat source backup cooling devices, mechanical balancers) or expand the mission applications (e.g., duplex power and cooling systems). Direct Energy Conversion; advances in, but not limited to, the following Recent advancements in alpha/beta-voltaic energy conversion devices have the potential to increase the power level, improve reliability, and increase the lifetime of this power technology. The increased use of cubesat/smallsat technology and autonomous remote sensors in support of NASA Science Mission goals has demonstrated the need for low-power, non-solar energy sources. The area of Direct Energy Conversion seeks technology advancements that address, but are not limited to: Experimental demonstration of long life (multiyear) alpha-voltaic and beta-voltaic devices with device-level conversion efficiencies in excess of 10%, high reliability, minimal operational performance degradation, and the ability to scale up to 1-10 W of electrical power output with system-level specific power of 5 W/kg or higher. Read less>>"," ARC, JPL, JSC"
TA3 Space Power and Energy Storage,TA3.1 Power Generation,H8.03Advanced Photovoltaic Systems, GRC,"Advanced photovoltaic (PV) power generation and enabling power system technologies are sought with improvements in power system performance (conversion efficiency, mass, stowed volume, etc.), mission operation capability, and reliability for PV power systems supporting NASA human exploration missions. Power levels may cover ranges of 25-250 kWe to MegaWatt-class systems. Component technologies and array concept designs are sought that can address all or parts of the following: improved efficiency (>30% cell conversion efficiency at Air Mass zero), cost (50% reduction compared to state-of-the-art (SOA) through modularization, automated manufacturing, and reduced material costs), improved reliability, reduced mass (50% reduction compared to SOA designs), reduced stowed volume (designs capable of accommodating 100kW power levels within a single launch), high array bus voltages (> 250 V), and long-lived, reliable operation within the expected space environment (i.e., high radiation environments, both high and low temperature and light intensity extremes, planetary surface dust conditions, electric propulsion plume impingement erosion, and minimal arcing/degradation due to interactions with the space plasma). The technologies being sought should enable or enhance the ability to provide low-cost, low mass, and higher efficiency solar power systems that support high power Solar Electric Propulsion (SEP), high radiation/extreme environments, and Mars surface NASA missions. Areas of particular emphasis include: Advanced PV blanket and component technology with designs that support very high power and high voltage (> 250 V) applications. Array structures and blankets optimized for Mars surface gravity and maximum wind loading conditions while still preserving the low mass, low stowed volume, high reliability, and possible retraction/redeployment capabilities. Array/blanket designs capable of operating in high dust environments. PV blanket, component technology, and arrays optimized for extreme environment conditions (high radiation, low/high temperature extremes, exposure to SEP plume environments, etc.). PV module/component technologies that emphasize low mass and cost reduction (via materials, fabrication, and reduced testing). Improvements to solar cell efficiency consistent with low cost, high volume fabrication techniques that are applicable to HEOMD missions. Automated/modular fabrication methods for PV panels/modules on flexible blankets (includes cell laydown, interconnects, shielding and high voltage operation mitigation techniques). Research should be conducted to demonstrate technical feasibility during Phase I and show a path toward a Phase I hardware demonstration, and when possible, deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. Read less>>", JSC
