Focus Area,Subtopic,Scope Title,Scope Description,Expected TRL or TRL range at completion of the project,Desired Deliverables of Phase II,Desired Deliverables Description,State of the Art and Critical Gaps,Relevance / Science Traceability,References,Desired Deliverables,Perception systems for autonomous robot operations,Desired Deliverables (Phase I),Desired Deliverables (Phase II),References for All Scopes,Expected TRL or TRL range at completion of the project for Phase I,Expected TRL or TRL range at completion of the project for Phase II for All Scopes,Desired Deliverables of Phase II for All Scopes,Desired Deliverables Description for All Scopes,Expected TRL or TRL range at completion of the project for Phase II,Expected TRL or TRL range at completion of the project for all scopes,Desired Deliverables of Phase II for all scopes,Desired Deliverables Description for all scopes,Contaminant,Organics,Desired Deliverables of Phase II (Check all that apply),Expected TRL or TRL range at completion of the project is,Examples of Outcomes,"To increase analysis capability to model and predict the plume/surface interaction and nature and behavior of the ejecta, for NASA and commercial landing.",Relevance/Science Traceability,Element 1,Heterogeneous multi-agent planning and control,Scope 1 Title,Scope 2 Title,Phase I Deliverables,Phase II Deliverables,Subtopic Description,Specifics Regarding Areas of Interest in Spacecraft Atmospheric Quality Management are the Following,Specifics Regarding Areas of Interest in Spacesuit Components are the Following,Subtopic description
Focus Area 1 In-Space Propulsion Technologies,T2.04Advanced in-space propulsion,"Electrostatic Solar Sail (E-Sail) Advancement
","The E-Sail is a propellant-less in-space propulsion system that utilizes electrostatic repulsion of solar wind (off of an electrically biased tether) to generate thrust. Preliminary studies indicate several advantages of this technology, including enabling access to interstellar space with transit times significantly faster than state-of-the-art (SOA) technologies. For this year's E-Sail investments, concepts to advance the Technology Readiness Level (TRL) of the E-sail guidance, navigation, and control system and/or robust models for spacecraft dynamics both during deployment as well as during operation are solicited. Marshall Space Flight Center (MSFC) is currently conceptualizing a 6-12U, ~10km total tether length E-Sail demonstration. Neither a specific architecture nor specific requirements have yet been detailed, however, responders should focus efforts in their proposed work towards this size spacecraft while keeping eventual scaling to as much as a 10x larger spacecraft in mind.
",3 to 6,"Prototype, Analysis, Hardware, Software, and/or Research
","Phase I proof of concept and/or preliminary guidance, navigation & control (GN&C) designs and/or models that will lead to Phase II medium to high fidelity prototypes ready for system infusion (in case of hardware), system analysis (in case of models), and/or advanced TRL testing (space environments testing) to support a MSFC led technology demonstration mission. Beyond Phase II, infusion into the planned E-Sail Technology Demonstration Missions (TDM) via a Phase III, IIE, directed work, etc. or additional development/test via an Announcement of Collaborative Opportunity (ACO) may be potential opportunities.
","The E-Sail concept has potential to enable practical access to interstellar space and fast travel beyond our solar system. The E-Sail has several open technology gaps. NASA is systematically reducing known risks of full system implementation prior to a flight demonstration. State of the Art GN&C systems and modeling have limitations due to the complex and changing dynamics of an E-Sail system. A critical gap is robust and high fidelity GN&C modeling and/or concepts for control of the E-Sail vehicle.
","An Electrostatic Sail E-Sail is a propellant-less advanced propulsion system that harnesses solar wind by electrostatic repulsion. Note, this contrasts Solar Sails, which utilize optical reflection of solar photons. E-Sail is comprised of thin tethers, which are electrically biased to form large electric fields. These fields create a virtual sail that repels solar ions and generates thrust. A key advantage is this mechanism better maintains thrust as it moves away from the sun – falling off at only 1/distance, substantially better than the solar sail 1/d^2. E-Sail will rapidly improve transit time within and to the edge of the solar system as well as enable out of plan maneuvers not currently possible.
","https://www.nasa.gov/centers/marshall/news/news/releases/2016/nasa-begins-testing-of-revolutionary-e-sail-technology.html (as of 8/2/2019)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,T2.04Advanced in-space propulsion,"Large Scale Freeform Additive Fabrication using GRCop-42 and Gradient Alloys
","NASA is interested in soliciting proposals to develop a process for large scale freeform fabrication using additive manufacturing of GRCop-42 and functional gradient materials. Components such as rocket nozzles and heat exchangers are actively-cooled with internal channel features and require high performance materials in the extreme environment. Typically these components are made from a monolithic alloy, although various alloys and functional gradient materials could increase performance and optimize the overall system. The objective of this solicitation is to complete process development (i.e., directed energy deposition, coldspray, etc.) to fabricate a freeform component that incorporates thin-wall integral channels into a structure. This process should focus on GRCop-42 (Cu-Cr-Nb) and transition to an alternate material using a functional gradient process. The proposer should provide a technique and approach to axially transition from the GRCop-42 to alternate alloy (Superalloy, Stainless, High Entropy Alloys) providing a compatible functional gradient joint to minimize stresses. A thorough development approach would include process development, initial characterization and testing of the GRCop-42 and functional gradient alloys, process demonstration of manufacturing technology demonstrators (MTD), and trade study and/or planning to increase the scale to several feet in diameter.
",3 to 6,"Prototype, Analysis, Hardware, and/or Research
","Phase I: Develop a process for fabricating (using directed energy deposition, coldspray, etc.) a freeform structure that incorporates thin-wall integral channels targeting a heat exchanger, combustion chamber, rocket nozzle, channel-cooled structure and provide a trade on combination of compatible materials, with NASA inputs.
Leading to Phase II: Complete fabrication of process development samples using GRCop-42 and functional gradient alloys (Superalloy, High Entropy Alloys) to change the material axially along the component; and complete process characterization, mechanical testing, materials evaluation to provide first order design data. Fabricate manufacturing demonstrator components with integral channels with materials selected. Provide components that NASA could perform benchtop, flow, and/or hot-fire testing. Demonstrate a manufacturing technology component with integral channels and that is larger than 16” diameter with the GRCop-42 and functionally gradient alloys. Provide scale-up to >40” diameter.
","NASA has been developing various additive manufacturing technologies in GRCop-42 using laser powder bed fusion (L-PBF) and currently working to mature large-scale (>3 ft dia) blown powder directed energy deposition (DED) process using NASA HR-1 and JBK-75. These technologies have been limited to monolithic materials though. Additional development has included bimetallic cladding (radial deposition) to provide superalloy jackets on copper-alloy combustion chambers under the Low Cost Upper Stage Propulsion (LCUSP) project, however this technology is not easily accessible at service companies. While the technology exist to fabricate components at sizes <16” diameter using laser powder bed fusion (L-PBF) using GRCop-42, this is limited to a monolithic material in the axial direction. There are also no current additive techniques to rapidly fabricate GRCop-42 structures larger than this scale.
There are also additional challenges in this approach with a binary transition from one alloy to another. Optimized structures for heat exchanges and combustion devices would include the ability to fabricate large structures with complex internal features and vary/transition alloys along the axial length of a component (not just radial). This would allow for a more compliant bond between a copper-alloy and alternate material instead of a drastic change in alloys. This would reduce risk of joints. A further gap is the ability to produce copper-alloys, such as GRCop-42, in scales larger than 16” diameter. This provides new solutions for designers of large engines and structures providing higher thermal margins on the walls with the use of copper. The copper technology using additive manufacturing does not exist using directed energy deposition (DED) or other technologies at this scale.
","Applications to: Propulsion and energy, Liquid rocket engines, Small thrusters, Additive Manufacturing, and Advanced Manufacturing.
","Gradl, P., Greene, S., Wammen, T. “Bimetallic Channel Wall Nozzle Development and Hot-fire Testing using Additively Manufactured Laser Wire Direct Closeout Technology”. 55th AIAA/SAE/ASEE Joint Propulsion Conference, AIAA Propulsion and Energy Forum. August 19-21, Indianapolis, IN. AIAA-2019.
Gradl, P., Protz, C., Wammen, T. “Additive Manufacturing Development and Hot-fire Testing of Liquid Rocket Channel Wall Nozzles using Blown Powder Directed Energy Deposition Inconel 625 and JBK-75 Alloys”. 55th AIAA/SAE/ASEE Joint Propulsion Conference, AIAA Propulsion and Energy Forum. August 19-21, Indianapolis, IN. AIAA-2019
https://gameon.nasa.gov/projects/rapid-analysis-and-manufacturing-propulsion-technology-rampt/
Gradl, P. “Rapid Fabrication Techniques for Liquid Rocket Channel Wall Nozzles.” AIAA-2016-4771, Paper presented at 52nd AIAA/SAE/ASEE Joint Propulsion Conference, July 27, 2016. Salt Lake City, UT.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,T2.04Advanced in-space propulsion,"Nuclear Thermal Propulsion (NTP) Advancement fuel testing
","The NTP concept is similar to a liquid chemical propulsion system, except instead of combustion in the thrust chamber, a monopropellant is heated with a fission reactor (heat exchanger) in the thrust chamber and exposes the engine components and surrounding structures to a radiation environment. NTP thrust is ~25,000 lbf with ~29 lbs/sec flow of hydrogen through the fuel elements. Current fuel element designs are based on cermet (ceramic metal) or carbon with low enriched uranium.
The scope is open to university/Small Business Concern (SBC) partners to propose key innovation on how to best test NTP fuel pieces in the university nuclear reactors that come close to meeting the following test goals:
Neutron/gamma radiation fluence approximating NTP operation. Heat NTP fuel test piece up to 2700K. Power density of 5 MW/L. Test piece exposed to hydrogen (if possible). Maintain steady state up to 15 minutes (or fluence equivalent).
",3 to 6,"Prototype, Analysis, Hardware, and Research
","The STTR team provides the following for Phase I and II:
Irradiation capsule design and thermal analysis predictions to handle a variety of fuel test pieces in the university reactor. Instrumentation required to determine how best the fuel performed and validate analysis predictions. Development plan for Phase II including a description of the reactor test arrangement and fuel pieces to be irradiated. Start-off with irradiating a surrogate test piece during phase II. Conclude phase II with irradiating a fuel test piece with High Assay Low Enriched Uranium. Include a description of post-test examinations to be performed.
","Testing various fuel concepts in the same environment as an NTP engine at low cost is not easy. Many current irradiation test facilities can test sample pieces to only a few of the NTP environment conditions.
","Research could have a significant positive impact on the design and development of NTP systems. NTP potentially useful for both science and exploration missions.
","Multiple publicly available references, see for example:
https://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/20120003776.pdf (as of 9/30/2019)
https://apps.dtic.mil/dtic/tr/fulltext/u2/a430931.pdf(link is external) (as of 9/30/2019)
Read less>>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,Z10.01Cryogenic Fluid Management,,"This subtopic seeks technologies related to cryogenic propellant (e.g. hydrogen, oxygen, methane) storage and transfer to support NASA's space exploration goals. This includes a wide range of applications, scales, and environments consistent with future NASA missions. Such missions include, but are not limited to upper stages, ascent and descent stages, refueling elements or aggregation stages, nuclear thermal propulsion, and in-situ resource utilization. Anticipated outcome of Phase 1 proposals are expected to deliver proof of the proposed concept with some sort of basic testing or physical demonstration. Proposals shall include plans for a prototype and demonstration in a defined relevant environment (with relevant fluids) at the conclusion of Phase II.
Desired technology concepts are listed below in order of priority:
Develop cryogenic mass flow meters applicable to liquid oxygen and methane, having a volumetric flow measurement capacity of 1 - 20 L/min (fluid line size of approximately ½ inch), of rugged design that is able to withstand launch-load vibrations (e.g., 20g rms), with remote powered electronics (not attached to the flowmeter), able to function accurately in microgravity and vacuum environment, and having measurement error less than +/- 0.5% of the mass flow rate reading. Ability to measure bi-directional flow, compatibility with liquid hydrogen, and ability to measure mass flow rate during two-phase flows is also desired. Designs that can tolerate gas flow without damage to the flowmeter are also desired. Goal is Proof of concept end of Phase 1. Working prototype flow meter end of Phase 2. Broad area cooling methods for cryogenic composite propellant tanks (reduced and/or zero boil-off applications or liquefaction): Design and integration concepts must exhibit low mass, high-heat transfer between cooling fluid and propellant in tank, high heat exchanger efficiency (>90%), and operate in reduced gravity environments (10-6 g worse case). Proposers should consider structural and pressure vessel implications of the proposed concept. Target applications include liquid oxygen liquefaction system (16 g/s neon gas, 85K < T < 90K, pressure drop < 0.25 psia, 2.6m diameter, 3m tall tank) and reduced and/or zero boil off liquid hydrogen nuclear thermal propulsion system (3.5 g/s helium gas, 20K < T < 24K, 7m diameter, 8m tall tank). Cryogenic liquid/vapor phase separators capable of delivering single-phase liquid flow at least up to 10 gallons per minute, void fractions up to 30%, with an emphasis on minimizing pressure drop across the separator. Devices should be able to maintain performance (phase separation at highest flow rate) after multiple (> 15) thermal cycles (room temperature to 77K and back). Phase separator should tolerate transient (transfer line and separator are chilling down). Phase 1 concept should yield a proof of concept using liquid cryogens. Phase 2 should focus on minimizing phase separator pressure drop, overall integration of phase separator into transfer system (i.e. where to route the vapor), and development a unit to test in liquid hydrogen.
NASA has plans to purchase services for delivery of payloads to the Moon through the Commercial Lunar Payload Services (CLPS) contract. Under this subtopic, proposals may include efforts to develop payloads for flight demonstration of relevant technologies in the lunar environment. The CLPS payload accommodations will vary depending on the particular service provider and mission characteristics. Additional information on the CLPS program and providers can be found at this link: https://www.nasa.gov/content/commercial-lunar-payload-services. CLPS missions will typically carry multiple payloads for multiple customers. Smaller, simpler, and more self-sufficient payloads are more easily accommodated and would be more likely to be considered for a NASA-sponsored flight opportunity. Commercial payload delivery services may begin as early as 2020 and flight opportunities are expected to continue well into the future. In future years it is expected that larger and more complex payloads will be accommodated. Selection for award under this solicitation will not guarantee selection for a lunar flight opportunity.
",2 to 4,"Hardware, Software
","Phase I proposals should at minimum deliver proof of the concept, including some sort of testing or physical demonstration, not just a paper study. Phase II proposals should provide component validation in a laboratory environment preferably with hardware deliverable to NASA.
","Cryogenic Fluid Management is a cross-cutting technology suite that supports multiple forms of propulsion systems (nuclear and chemical), including storage, transfer, and gauging, as well as liquefaction of ISRU (In-Situ Resource Utilization) produced propellants. STMD (Space Technology Mission Directorate) has identified that Cryogenic Fluid Management (CFM) technologies are vital to NASA's exploration plans for multiple architectures, whether it is hydrogen/oxygen or methane/oxygen systems including chemical propulsion and nuclear thermal propulsion. Several recent Phase IIs have resulted from CFM subtopics, most notably for advanced insulation, cryocoolers, and liquid acquisition devices.
","STMD strives to provide the technologies that are needed to enable exploration of the solar system, both manned and unmanned systems; cryogenic fluid management is a key technology to enable exploration. Whether liquid oxygen/liquid hydrogen or liquid oxygen/liquid methane is chosen by HEO (Human Exploration and Operations) as the main in-space propulsion element to transport humans, CFM will be required to store propellant for up to 5 years in various orbital environments. Transfer will also be required, whether to engines or other tanks (e.g. depot/aggregation), to enable the use of cryogenic propellants that have been stored. In conjunction with ISRU, oxygen will have to be produced, liquefied, and stored, the latter two of which are CFM functions for the surface of the Moon or Mars. ISRU and CFM liquefaction drastically reduces the amount of mass that has to be landed.
Read less>>
","1. Johnson et al. “Investigation into Cryogenic Tank Insulation Systems for the Mars Surface Environment” 2018 Joint Propulsion Conference Cincinnati, OH, July, 2018. Paper.
2. Plachta, D., et al. ""Zero Boil-Off System Testing"" NASA TP 20150023073.
3. Hartwig, J.W., ""Liquid Acquisition Devices for Advanced In-Space Cryogenic Propulsion Systems"" Elsevier, Boston, MA, November, 2015.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,Z10.03Nuclear Thermal Propulsion,Reactor and Fuel System,"The focus is on highly stable materials for nuclear fuels and non-fuel reactor components (i.e., moderator tie tubes, etc.) that can heat hydrogen to temperatures greater than 2600K without undergoing significant dimensional deformation, cracking, or hydrogen reactions. Current technology hurdles related to ceramic metal fuels center around refractory metal processing and manufacturing (i.e., welding of refractories, refractory metal coatings, etc.). The development of refractory alloys with enhanced/targeted material properties are of key interest (i.e., tungsten or molybdenum with increased ductility, or dispersion strengthen Mo/W alloys). Current technology hurdles with carbide fuels include embedding carbide kernels with coatings in a carbide matrix with potential for total fission product containment and high fuel burn-up. Manufacturing and testing of the insulator and reflector materials are also critical to the success of a Nuclear Thermal Propulsion (NTP) reactor.
Technologies being sought include:
Low Enriched Uranium reactor fuel element designs with high temperature (> 2600K), high power density (>5 MW/L) to optimize hydrogen propellant heating. New advanced manufacturing processes to quickly manufacture the fuel with uniform channel coatings and/or claddings that reduce fission product gas release and reactor particulates into the engines exhaust stream. High temperature fuels that build on experience from AGR (Advanced Gas Reactor) TRISO (Tristructural-isotropic) design and testing. Potentially enable NTP with Isp> 900 seconds.
Fuels focused on Ceramic-metallic (cermet) designs:
Fabrication technique for full length W/UN or W/UO2 fuel elements with greater than 60% volume ceramic loading
Fuels focused on carbide designs:
Compatibility with high temperature hydrogen. High thermal conductivity and other properties (e.g., ductility) needed for high power density operation (~5MW/l). Kernel diameters, including coatings for fission product containment, which allow the fuel element to be fabricated with adequate strength for high temperature and high-power density operation.
Insulator design (one application is for tie tubes and the other is for interface with the pressure vessel) which has very low thermal conductivity and neutron absorption, withstands high temperatures, compatible with hot hydrogen and radiation environment, and light weight.
",2 to 5,"Prototype hardware is desired.
","Desired deliverables for this technology would include research that can be conducted to determine technical feasibility of the proposed concept during Phase I and show a path toward a Phase II hardware demonstration. Testing the technology in a simulated (as close as possible) NTP environment as part of Phase II is preferred. Delivery of a prototype test unit at the completion of Phase II allows for follow-up testing by NASA.
Phase I Deliverables - Feasibility analysis and/or small-scale experiments proving the proposed technology to develop a given product (TRL 2-3). The final report includes a Phase II plan to raise the TRL. The Phase II plan includes a verification matrix of measurements to be performed at the end of Phase II, along with specific quantitative pass-fail ranges for each quantity listed.
Phase II Deliverables - A full report of component and/or breadboard validation measurements, including populated verification matrix from Phase I (TRL 4-5). Also delivered is a prototype of the proposed technology for NASA to do further testing if Phase II results show promise for NTP application. Opportunities and plans should also be identified and summarized for potential commercialization of the proposed technology.
","The SOA (State-Of-the-Art) is reactor fuel developed for the Rover/NERVA program in the 1960's and early 1970's. The fuel was carbon based and had what is known as ""mid-ban"" corrosion, which effected the fuel endurance. Switching over to cermet (metal and ceramics) or advance carbide fuels shows promise, but has fabrication challenges.
Solid core NTP has been identified as an advanced propulsion concept which could provide the fastest trip times with fewer SLS (Space Launch System) launches than other propulsion concepts for human missions to Mars over a variety of mission years. NTP had major technical work done between 1955-1973 as part of the Rover and Nuclear Engine for Rocket Vehicle Application (NERVA) programs. A few other NTP programs followed including the Space Nuclear Thermal Propulsion (SNTP) program in the early 1990's. The NTP concept is similar to a liquid chemical propulsion system, except instead of combustion in the thrust chamber, a monopropellant is heated with a fission reactor (heat exchanger) in the thrust chamber and exposes the engine components and surrounding structures to a radiation environment.
Focus is on a range of modern technologies associated with NTP using solid core nuclear fission reactors and technologies needed to ground test the engine system and components. The engines are pump fed ~25,000 lbf with a specific impulse goal of 900 seconds (using hydrogen), and are used individually or in clusters for the spacecraft's primary propulsion system. The NTP can have multiple start-ups (>4) with cumulative run time >100 minutes in a single mission, which can last a few years. The Rover/NERVA program ground tested a variety of engine sizes, for a variety of burn durations and start-ups with the engine exhaust released to the open air. Current regulations require exhaust filtering of any radioactive noble gases and particulates. The NTP primary test requirements can have multiple start-ups (>8) with the longest single burn time ~50 minutes.
","STMD (Space Technology Mission Directorate) is supporting the NTP project.
Future mission applications:
Human Missions to Mars Science Missions to Outer Planets Planetary Defense
Some technologies may have applications for fission surface power systems.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,Z10.03Nuclear Thermal Propulsion,Ground Test Technologies,"Included in this area of technology development needs are identification and application of robust materials, advanced instruments and monitoring systems capable of operating in extreme temperature, pressure and radiation environments. Specific areas of interest include:
Devices for measurement of radiation, pressure, temperature and strain in a high temperature and radiation environment. Non-intrusive diagnostic technology to monitor engine exhaust for fuel element erosion/failure and release of radioactive particulates.
",2 to 5,"Prototype hardware is desired
","Desired deliverables for this technology would include research to determine the technical feasibility during Phase I and show a path toward a Phase II hardware demonstration. Determine a prototype instrument arrangement which can be strategically positioned to monitor NTP operation as good as possible. To monitor fuel degradation in the exhaust stream, the optimum position of the sensors must account for anomalies near an operating reactor core and have the ability to withstand the radiation and heat environment. Testing the technology in a simulated (as close as possible) NTP environment as part of phase II is preferred. Delivery of a prototype test unit at the completion of phase II allows for follow-up testing by NASA.
Phase I Deliverables - Feasibility analysis and/or small-scale experiments proving the proposed technology to develop a given product (TRL 2-3). The final report includes a Phase II plan to raise the TRL. The Phase II plan includes a verification matrix of measurements to be performed at the end of Phase II, along with specific quantitative pass-fail ranges for each quantity listed.
Phase II Deliverables - A full report of component and/or breadboard validation of sensor measurements, including populated verification matrix from Phase I (TRL 4-5). Also delivered is a prototype of the proposed technology for NASA to do further testing if phase II results show promise for NTP application. Opportunities and plans must also be identified and summarized for potential commercialization of the proposed technology.
","The SOA NTP ground testing involved open air testing in the 1960's and early 1970's. The current regulations require an exhaust treatment system to avoid release of significant quantities of fission products into the air. Validating various exhaust treatment concepts requires a subscale simulation of NTP hot hydrogen, the cooling system, filtering, and special instrumentation to monitor what is coming out in the hydrogen exhaust, which could lead to shutdown.
Solid core NTP has been identified as an advanced propulsion concept which could provide the fastest trip times with fewer SLS launches than other propulsion concepts for human missions to Mars over a variety of mission years. NTP had major technical work done between 1955-1973 as part of the Rover and Nuclear Engine for Rocket Vehicle Application (NERVA) programs. A few other NTP programs followed including the Space Nuclear Thermal Propulsion (SNTP) program in the early 1990's. The NTP concept is similar to a liquid chemical propulsion system, except instead of combustion in the thrust chamber, a monopropellant is heated with a fission reactor (heat exchanger) in the thrust chamber and exposes the engine components and surrounding structures to a radiation environment.
Focus is on a range of modern technologies associated with NTP using solid core nuclear fission reactors and technologies needed to ground test the engine system and components. The engines are pump fed ~25,000 lbf with a specific impulse goal of 900 seconds (using hydrogen), and are used individually or in clusters for the spacecraft's primary propulsion system. The NTP can have multiple start-ups (>4) with cumulative run time >100 minutes in a single mission, which can last a few years. The Rover/NERVA program ground tested a variety of engine sizes, for a variety of burn durations and start-ups with the engine exhaust released to the open air. Current regulations require exhaust filtering of any radioactive noble gases and particulates. The NTP primary test requirements can have multiple start-ups (>8) with the longest single burn time ~50 minutes.
","STMD (Space Technology Mission Directorate) is supporting NTP project. Future mission applications:
Human Missions to Mars Science Missions to Outer Planets Planetary Defense
Read less>>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,"Z10.04Manufacturing processes enabling lower-cost, in-space electric propulsion thrusters","Material joining in hollow cathodes
","SOA hollow cathodes in thrusters are complex assemblies with metal-to-ceramic (e.g., alumina, magnesium oxide, etc.) and metal-to-metal joints where dissimilar materials may have large thermal expansion mismatches. In such cathodes, operating temperatures can range from 1000 - 1700 °C (necessitating the use of refractory metals such as molybdenum, rhenium, tantalum, tungsten, etc.), and material joints must be able to survive in excess of 10,000 thermal on-off cycles without failure. Existing material joining processes used to construct Hall-effect and ion thruster cathodes have demonstrated inconsistencies in joint strength and the presence of impurities that may degrade cathode performance during vacuum operations. Efforts to mitigate these issues have to date contributed to the high cost for the integrated cathode assembly and thruster; thus, making them less attractive for commercial usage, particularly for small satellite propulsion applications. Proposed material joining processes to this area must be compatible with critical high-temperature materials; be performed readily, reliably, and with some economy; demonstrate structural integrity at typical cathode operating conditions; and avoid contaminant release that could degrade the performance of common cathode emitter materials such as barium oxide (BaO) and lanthanum hexaboride (LaB6).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,"Z10.04Manufacturing processes enabling lower-cost, in-space electric propulsion thrusters","High-temperature electromagnets
","Thermal management of integrated electric propulsion systems is often challenging, especially for compact micro-propulsion devices or high-power-density systems. For thrusters with electromagnetic coils, such as Hall-effect thrusters or plasma thrusters utilizing magnetic nozzles, these magnetic circuits may experience operational temperatures in excess of 500 ºC due to coil self-heating and close proximity to plasma-wetted surfaces; such magnetic circuits, may also need to survive in excess of 10,000 thermal on-off cycles without failure. High wire packing density is frequently desirable to achieve high magnetomotive forces (i.e., high ampere-turns). This is facilitated by small wire diameters with thin insulation, with the drawback of being more susceptible to heating and insulation failure. Existing processes for manufacturing and potting magnetic wire have exhibited instances of insulation and potting degradation during thruster operations that can lead to early thruster failure; however, the associated extensive acceptance testing required to ensure high reliability contributes to the current high cost of thrusters. Proposed solutions to this scope area must be compatible with high ampere-turn, multi-layer electromagnets; be fray-resistant; and avoid performance degradation at the operational conditions indicated above. Any formation of volatile materials under operational conditions, particularly if binders or potting materials are used (e.g., for electrical insulation between wire layers or for thermal management), must be limited so as to preserve the insulating materials' dielectric strength and to remain compliant with general NASA material outgassing guidelines (i.e., < 1% total mass loss and < 0.1% collected volatile condensable material).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 1 In-Space Propulsion Technologies,"Z10.04Manufacturing processes enabling lower-cost, in-space electric propulsion thrusters","Robust ceramics for Hall-effect thruster discharge channels
","State-of-the-art Hall-effect thrusters make use of hot-pressed, hexagonal boron nitride (BN) or derivative ceramics, for the machined discharge channel in which plasma is generated and accelerated. The discharge channel (typically with outer diameters between 2 and 14 inches depending on the thruster's power level) must maintain electrical isolation between the thruster electrodes while being subjected to an energetic plasma environment, large thermal gradients and transients, and back-sputtered material from other thruster components or the vacuum test facility. To date, these materials have exhibited substantial lot-to-lot variability in key material properties (including mechanical strength, moisture sensitivity, and thermal conductivity and emissivity) that have resulted in discharge channel damage during vibration, shock, and thermal testing of the assembled thruster. Such material property inconsistencies have thus necessitated costly thruster design features to improve survivability margins against mechanical and thermal shock. Proposed processes to improve the lot-to-lot consistency should focus on the BN family of materials or similar ceramics compatible (i.e., exhibiting low ion-bombardment sputtering yields) with a Hall-effect thruster's discharge plasma.
",2 to 6,,,,"Both NASA's Science Mission Directorate (SMD) and Human Exploration and Operations Mission Directorate (HEOMD) need spacecraft with demanding propulsive performance and greater flexibility for more ambitious missions requiring high duty cycles and extended operations under challenging environmental conditions. Planetary spacecraft need the ability to rendezvous with, orbit, and conduct in situ exploration of planets, moons, and other small bodies (i.e., comets, asteroids, near-Earth objects, etc.) in the solar system; furthermore, mission priorities are outlined in the decadal surveys for each of the SMD divisions (https://science.nasa.gov/about-us/science-strategy/decadal-surveys). For HEOMD, higher-power electric propulsion is a key element (e.g., the Power and Propulsion Element of the Lunar Gateway) in supporting sustained human exploration of cis-lunar space.
This subtopic seeks innovations to meet future SMD and HEOMD propulsion requirements in electric propulsion systems related to such missions. The innovations would enable lower-cost electric propulsion systems for small spacecraft, Discovery-class missions, and low-power NEP (nuclear electric propulsion) missions while improving the reliability and robustness of higher-power electric propulsion systems to support human missions. The roadmap for such in-space propulsion technologies is covered under the 2015 NASA Technology Roadmap TA-2 (In-Space Propulsion Technologies).
Read less>>
","H. Kamhawi et al., ""Performance, Stability, and Plume Characterization of the HERMeS Thruster with Boron Nitride Silica Composite Discharge Channel"", IEPC-2017-392.
ASTM C1424-04, ""Standard Test Method for Monotonic Compressive Strength of Advanced Ceramics at Ambient Temperature"".
ASTM E1461-13, ""Standard Test Method for Thermal Diffusivity by the Flash Method"".
ASTM E1933-14, ""Standard Practice for Measuring and Compensating for Emissivity Using Infrared Imaging Radiometers"".
","Phase I: In addition to a final report with supporting analysis, awardees shall deliver NASA material samples from the effort that can be utilized for independent verification of claimed improvements over SOA technologies.
Phase II: In addition to a final report with supporting analysis, awardees shall demonstrate functionality of components derived from the effort when integrated with operating thruster hardware. Partnering with electric propulsion developers may be required.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Area 2 Power Energy and Storage,S3.01Power Generation and Conversion,"Photovoltaic Energy Conversion
","Photovoltaic cell and blanket technologies that lead to significant improvements in overall solar array performance by increasing photovoltaic cell efficiency greater than 30%, increasing array mass specific power greater than 300W/ kg, decreased stowed volume, reduced initial and recurring costs, long- term operation in radiation environments, high power arrays and a wide range of space environmental operating conditions are solicited.
Photovoltaic Energy Conversion: advances in, but not limited to, the following: (1) Photovoltaic cell and blanket technologies capable of low intensity, low-temperature operation applicable to outer planetary (low solar intensity) missions, (2) Photovoltaic cell, and blanket technologies that enhance and extend performance in lunar applications including orbital, surface and transfer, (3) Solar arrays to support Extreme Environments Solar Power type missions, including long-lived, radiation tolerant, cell and blanket technologies applicable to Jupiter missions, and (4) Lightweight solar array technologies applicable to science missions using solar electric propulsion.
Current missions being studied require solar arrays that provide 1 to 20 kilowatts of power at 1 AU, greater than 300 watts/kilogram specific power, operation in the range of 0.7 to 3 AU, low stowed volume, and the ability to provide operational array voltages up to 300 volts to enable direct drive electric propulsion systems for science missions.
",,,,,,"Solar Power Technologies for Future Planetary Science Missions, found at: https://solarsystem.nasa.gov/resources/548/solar-power-technologies-for-future-planetary-science-missions/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
