Higher Topic,Focus Area Code,Focus Area name,Content
,Focus Area 1,In-Space Propulsion Technologies,"NASA is interested in technologies for advanced in-space propulsion systems to reduce travel time, increase payload mass, reduce acquisition costs, reduce operational costs, and enable new science capabilities for exploration and science spacecraft.  The future will require demanding propulsive performance and flexibility for more ambitious missions requiring high duty cycles, more challenging environmental conditions, and extended operation.  This focus area seeks innovations for NASA propulsion systems in chemical, electric, nuclear thermal and advanced propulsion systems related to human exploration and science missions.  Propulsion technologies will focus on a number of mission applications including ascent, descent, orbit transfer, rendezvous, station keeping, and proximity operations."
,Focus Area 2,"Power, Energy and Storage","Power is a ubiquitous technology need across many NASA missions.  Within the SBIR Program, power is represented across a broad range of topics in human exploration, space science, space technology and aeronautics.  New technologies are needed to generate electrical power and/or store energy for future human and robotic space missions and to enable hybrid electric aircraft that could revolutionize air travel.  A key goal is to develop technologies that are multi-use and cross-cutting for a broad range of NASA mission applications. In aeronautics, power technologies are needed to supply large-scale electric power and efficiently distribute the power to aircraft propulsors (see Focus Area 18 – Air Vehicle Technologies).  In the space power domain, mission applications include planetary surface power, large-scale spacecraft prime power, small-scale robotic probe power, and smallsat/cubesat power. Applicable technology options include photovoltaic arrays, radioisotope power systems, nuclear fission, thermal energy conversion, motor/generators, fuel cells, batteries or other energy storage devices, power management, transmission, distribution and intelligent control. An overarching objective is to mature technologies from analytical or experimental proof-of-concept (TRL 3) to breadboard demonstration in a relevant environment (TRL 5). Successful efforts will transition into NASA Projects where the SBIR/STTR deliverables will be incorporated into ground testbeds or flight demonstrations."
,Focus Area 3,Autonomous Systems for Space Exploration,"The exploration of space requires the best of the nation's technical community to provide the technologies that will enable human and robotic exploration beyond Low Earth Orbit (LEO): to visit asteroids, to extend man’s reach to Mars, and for increasingly ambitious robotic missions such as a Europa Lander. Autonomous Systems technologies provide the means of migrating mission control from Earth to spacecraft, habitats, and robotic explorers. This is enhancing for missions in the Earth-Lunar neighborhood and enabling for deep space missions. Long light-time delays, for example up to 42 minutes round-trip between Earth and Mars, require time-critical control decisions to be closed on-board autonomously through automation, augmented for human missions by astronaut-automation teaming, rather than through round-trip communication to Earth mission control.Long-term crewed spacecraft and habitats, such as the International Space Station, are so complex that a significant portion of the crew's time is spent keeping it operational even under nominal conditions in low-Earth orbit, while still requiring significant real-time support from Earth. The considerable challenge is to migrate the knowledge and capability embedded in current Earth mission control, with tens to hundreds of human specialists ready to provide instant knowledge, to on-board automation that teams with astronauts to autonomously manage spacecraft and habitats. For outer planet robotic explorers, the opportunity is to autonomously and rapidly respond to dynamic environments in a timely fashion. The autonomous agent subtopic addresses this challenge by soliciting proposals that leverage the growing field of cognitive computing to advance technology for deep-space autonomy.The technology challenge for autonomous crewed systems in off-nominal conditions is even more critical. In the majority of Apollo lunar missions, Earth mission control was needed to resolve critical off-nominal situations ranging from unexplained computer alarms on Apollo 11 to the oxygen tank explosion on Apollo 13 that required executing an 87-hour free return abort trajectory around the moon and back to Earth. Through creative use of Lunar Module assets, Apollo 13 had sufficient resiliency to keep the three astronauts alive despite loss of the oxygen tank and many of the capabilities of the service module. In contrast to a lunar mission, a free return abort trajectory around Mars and back to Earth is on the order of two years – requiring a leap in resiliency.  To prevent Loss of Mission (LOM) or Loss of Crew (LOC) in deep space missions, spacecraft and habitats will require long-term resiliency to handle failures that lead to loss of critical function or unexpected expenditure of consumables. Long communication delays or accidents that cause loss of communication will require that the initial failure response be handled autonomously. The subtopic on resilient autonomous systems solicits technology for the design and quantification of resiliency in long-duration missions. The subtopic on sustainable habitats solicits technology for long-term system health management that goes beyond short-term diagnosis technology to include advances machine learning and other prognostic technologies. Enhancing the capability of astronauts is also critical for future long-duration deep space missions. Augmented reality technology can guide astronauts in carrying out procedures through various sensory modalities. The augmented reality subtopic within the STMD Robotics area is very relevant to autonomous systems technologies, and proposers are encouraged to review that subtopic description.Machine learning could become an increasingly important aspect of space exploration, from finding novel patterns in the science data transmitted from robotic spacecraft, to the operation of sustainable habitats. The sustainable habitat subtopic calls for machine learning technology in order to substantially improve diagnostic and prognostic performance for integrated systems health management. In addition, STTR subtopics related to machine learning are very relevant to autonomous systems technologies."
,Focus Area 4,Robotic Systems for Space Exploration,"This focus area includes development of robotic systems technologies (hardware and software) to improve the exploration of space. Robots can perform tasks to assist and off-load work from astronauts. Robots may perform this work before, in support of, or after humans. Ground controllers and astronauts will remotely operate robots using a range of control modes, over multiple spatial ranges (shared-space, line of sight, in orbit, and interplanetary) and with a range of time-delay and communications bandwidth. Technology is needed for robotic systems to improve transport of crew, instruments, and payloads on planetary surfaces, on and around small bodies, and in-space. This includes hazard detection, sensing/perception, active suspension, grappling/anchoring, legged locomotion, robot navigation, end-effectors, propulsion, and user interfaces.In the coming decades, robotic systems will continue to change the way space is explored. Robots will be used in all mission phases: as independent explorers operating in environments too distant or hostile for humans, as precursor systems operating before crewed missions, as crew helpers working alongside and supporting humans, and as caretakers of assets left behind. As humans continue to work and live in space, they will increasingly rely on intelligent and versatile robots to perform mundane activities, freeing human and ground control teams to tend to more challenging tasks that call for human cognition and judgment.Innovative robot technologies provide a critical capability for space exploration. Multiple forms of mobility, manipulation and human-robot interaction offer great promise in exploring planetary bodies for science investigations and to support human missions. Enhancements and potentially new forms of robotic systems can be realized through advances in component technologies, such as actuation and structures (e.g., 3D printing). Mobility provides a critical capability for space exploration. Multiple forms of mobility offer great promise in exploring planetary bodies for science investigations and to support human missions. Manipulation provides a critical capability for positioning crew members and instruments in space and on planetary bodies, it allows for the handling of tools, interfaces, and materials not specifically designed for robots, and it provides a capability for drilling, extracting, handling and processing samples of multiple forms and scales. This increases the range of beneficial tasks robots can perform and allows for improved efficiency of operations across mission scenarios. Manipulation is important for human missions, human precursor missions, and unmanned science missions.  Sampling, sample handling, transport, and distribution to instruments, or instrument placement directly on in-place rock or regolith, is important for robotic missions to locales too distant or dangerous for human exploration.Future space missions may rely on co-located and distributed teams of humans and robots that have complementary capabilities. Tasks that are considered ""dull, dirty, or dangerous"" can be transferred to robots, thus relieving human crew members to perform more complex tasks or those requiring real-time modifications due to contingencies. Additionally, due to the limited number of astronauts anticipated to crew planetary exploration missions, as well as their constrained schedules, ground control will need to remotely supervise and assist robots using time-delayed and limited bandwidth communications.  Advanced methods of human-robot interaction over time delay will enable more productive robotic exploration of the more distant reaches of the solar system.  This includes improved visualization of alternative future states of the robot and the terrain, as well as intuitive means of communicating the intent of the human to the robotic system."
,Focus Area 5,Communications and Navigation,"NASA seeks proposals to produce high impact developments in communications and navigation technologies to support future science and exploration missions.  Missions are generating ever-increasing data volumes that require increased performance from communications systems while minimizing the impacts to the spacecraft. Similarly, missions have a need for more precise guidance, navigation, and control to meet their mission objectives. This focus area supports development of technologies in RF and optical communications systems; cognitive systems for communications; and ground-based and onboard guidance, navigation and control systems that will provide a significant improvement over the current state of the art."
,Focus Area 6,Life Support and Habitation Systems,"The Life Support and Habitation Systems Focus Area seeks key capabilities and technology needs encompassing a diverse set of engineering and scientific disciplines, all which provide technology solutions that enable extended human presence in space. Functions include Environmental Control and Life Support Systems (ECLSS), Extravehicular Activity (EVA) Systems, Advanced Food Technology and Biological Life Support.Habitation systems encompass process technologies, equipment and monitoring functions necessary to provide and maintain a livable environment within the pressurized cabin of crewed spacecraft, including human accommodations, atmosphere revitalization, water recycling, waste management and resource recovery. Vehicle outfitting provides the equipment necessary for the crew to perform mission tasks as well as provide a comfortable and safe habitable volume. A capability for integrated system health management for these sustainable habitats is of interest. Providing cost effective, efficient and reliable carbon dioxide removal for human space applications has been a challenge, with improvements applicable to both Spacecraft ECLSS and EVA portable life support systems. Furthermore, as we consider human missions to planetary surfaces, such as to Earth’s moon and to the surface of Mars, new technologies may be required that are compatible with attributes of these environments, including partial gravity or reduced pressure atmosphere. Needs for EVA also include development of tinting and coatings for spacesuit visors and considerations for commercial space suit systems.For future crewed missions beyond low-Earth orbit (LEO) and into the solar system, regular resupply of consumables and emergency or quick-return options will not be feasible. Technologies are of interest that enable long-duration, safe and sustainable deep-space human exploration with advanced extra-vehicular capability.  Special emphasis is placed on developing technologies that will fill existing gaps, reduce requirements for consumables and other resources, including mass, power, volume and crew time, and which will increase safety and reliability with respect to the state-of-the-art.  Biological systems, including plant growth systems and microbial bioreactors may be useful to regeneratively recycle wastes into consumables, including fresh foods, chemicals and new materials for in situ manufacturing. A system for preparing fresh fruits and vegetables for use in meals is also of interest, including washing and disinfection.   Please refer to the description of each subtopic for further detail to guide development of proposals."
,Focus Area 7,Human Research and Health Maintenance,"NASA’s Human Research Program (HRP) investigates and mitigates the highest risks to astronaut health and performance in exploration missions. The goal of the HRP is to provide human health and performance countermeasures, knowledge, and technologies to enable safe, reliable, and productive human space exploration, and to ensure safe and productive human spaceflight. The scope of these goals includes both the successful completion of exploration missions and the preservation of astronaut health over the life of the astronaut. HRP developed an Integrated Research Plan (IRP) to describe the requirements and notional approach to understanding and reducing the human health and performance risks. The IRP describes the Program’s research activities that are intended to address the needs of human space exploration and serve HRP customers. The Human Research Roadmap (http://humanresearchroadmap.nasa.gov) is a web-based version of the IRP that allows users to search HRP risks, gaps, and tasks.The HRP is organized into Program Elements:Human Health Countermeasures.Human Factors and Behavioral Performance.Exploration Medical Capability.Space Radiation.ISS Medical Projects.Each of the HRP Elements address a subset of the risks, with ISS Medical Projects responsible for the implementation of the research on various space and ground analog platforms. HRP subtopics are aligned with the Elements and solicit technologies identified in their respective research plans."
,Focus Area 8,In-Situ Resource Utilization,"In Situ Resource Utilization (ISRU) involves any hardware or operation that harnesses and utilizes ‘in-situ’ resources (natural and discarded) to create products and services for robotic and human exploration.  ISRU encompasses a broad range of systems, and is typically divided into six focus areas:  Resource Assessment, Resource Acquisition, Resource Processing/Consumable Production, In Situ Manufacturing, In Situ Construction, and In Situ Energy.  ISRU products and services can be used to reduce Earth launch mass or lander mass by not bringing everything from Earth, reduce risks to the crew and/or mission by reducing logistics, increasing shielding, and providing increased self-sufficiency, or reduce costs by needing less launch vehicles to complete the mission and/or through the reuse of hardware and lander/space transportation vehicles.  Since ISRU can be performed wherever resources may exist, ISRU technologies and systems may need to operate in a variety of environments and gravities, and may need to consider a wide variety of potential resource physical and mineral characteristics. This year’s solicitation will focus on critical technologies needed in the areas of Resource Acquisition and Consumable Production for the Moon and Mars."
,Focus Area 9,"Sensors, Detectors and Instruments","NASA's Science Mission Directorate (SMD) (http://nasascience.nasa.gov/) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics and Planetary Science. The National Academy of Science has provided NASA with recently updated Decadal surveys that are useful to identify technologies that are of interest to the above science divisions. Those documents are available at the following locations:Astrophysics - http://sites.nationalacademies.org/bpa/BPA_049810(link is external).Planetary - http://sites.nationalacademies.org/ssb/completedprojects/ssb_065878(link is external).Earth Science - http://science.nasa.gov/earth-science/decadal-surveys/.Heliophysics - the 2014 technology roadmap can be downloaded here: http://science.nasa.gov/heliophysics/.A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and Unmanned Aerial Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities, which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For the 2018 program year, we are restructuring the Sensors, Detectors and Instruments Topic, adding new, rotating out, and retiring some of the subtopics. Please read each subtopic of interest carefully. We continue to emphasize Ocean Worlds and solicit development of in situ instrument technologies and components to advance the maturity of science instruments focused on the detection of evidence of life, especially extant of life, in the Ocean Worlds.  The microwave technologies subtopic was split last year into two subtopics one focused on active microwave remote sensing and the second on passive systems such as radiometers and microwave spectrometers.  A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development of components, subsystems and systems that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase I and show a path towards a Phase II prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology."
,Focus Area 10,Advanced Telescope Technologies,"The NASA Science Mission Directorate seeks technology for cost-effective high-performance advanced space telescopes for astrophysics and Earth science. Astrophysics applications require large aperture light-weight highly reflecting mirrors, deployable large structures and innovative metrology, control of unwanted radiation for high-contrast optics, precision formation flying for synthetic aperture telescopes, and cryogenic optics to enable far infrared telescopes. A few of the new astrophysics telescopes and their subsystems will require operation at cryogenic temperatures as cold as 4 K. This topic will consider technologies necessary to enable future telescopes and observatories collecting electromagnetic bands, ranging from UV to millimeter waves, and also include gravity waves. The subtopics will consider all technologies associated with the collection and combination of observable signals. Earth science requires modest apertures in the 2 to 4-meter size category that are cost effective. New technologies in innovative mirror materials, such as silicon, silicon carbide and nanolaminates, innovative structures, including nanotechnology, and wavefront sensing and control are needed to build telescopes for Earth science."
