Focus Area Code,Subtopic code,Subtopic name
Topic O1,O1.01; O1.02; O1.03; O1.04; O1.05; O1.06; O1.07; O1.08,"Coding, Modulation, and Compression; Precision Navigation and Tracking; Communiction for Space-Based Range; Antenna Technology; Antenna Array Transmission Techniques; Reconfigurable/Reprogrammable Communication Systems; Extravehicular (EVA) Radios; Transformational Communications Technology"
Topic O2,O2.01; O2.02; O2.03,Automated Optical Tracking and Identification of 3D Tumbling Objects; Space Transportation Test Requirements and Instrumentation; Automated Collection and Transfer of Range Surveillance/Intrusion Data
Topic A1,A1.01; A1.02; A1.03; A1.04,"Crew Systems Technologies for Improved Aviation Safety; Aviation Safety and Security; Fire, Icing, Propulsion and Secure CNS Aircraft Systems; Aviation Security Technologies; Automated On-Line Health Management and Data Analysis"
Topic A2,A2.01; A2.02; A2.03; A2.04; A2.05; A2.06; A2.07; A2.08; A2.09,"Noise Breakthrough Turbine-Based Propulsion Technologies; Fuel Cell Technologies for Aircraft Propulsion & Power; Hydrogen Fuel Systems and Components for Aircraft Applications; Aircraft Systems Noise Prediction and Reduction; Electric Drive Components, Power Management and Distribution Technologies; Smart, Adaptive Aerospace Vehicles With Intelligence; Revolutionary Atmospheric Flight Concepts; Modeling, Identification, and Simulation for Control of Aerospace Vehicles to Prepare for Flight Test; Flight Sensors and Airborne Instruments for Flight Research"
Topic A3,A3.01,Next Generation Air-Traffic Management Systems
Topic S1,S1.01; S1.02; S1.03; S1.04; S1.05,"Detection and Reduction of Biological Contamination on Flight Hardware; Mars In Situ Robotics Technology; Long Range Optical Telecommunications; Entry, Descent and Landing; Sample Return Technologies"
Topic S2,S2.01; S2.02; S2.03; S2.04; S2.05; S2.06; S2.07,Science Instruments for Conducting Solar System Exploration; Extreme High Temperature/High Pressure Environment; Nanosensors; Deep Space Power Systems; Astrobiology; Advanced Flexible Electronics; Risk Modeling and Analysis
Topic S3,S3.01; S3.02; S3.03; S3.04,Precision Formations for Interferometry; High Contrast Astrophysical Imaging; Precision Deployable Lightweight Cryogenic Structures for Large Space Telescopes; Large-Aperture Lightweight Cryogenic Telescope Components & Systems
Topic S4,S4.01; S4.02; S4.03; S4.04; S4.05; S4.06,"Infrared & Sub-mm Sensors and Detectors; Terrestrial and Extra-Terrestrial Balloons and Aerobots; Cryogenic Systems for Sensors and Detectors; Optics and Optical Telescopes (including X-ray, UV, Visual, IR); Sensor and Detector Technology for UV, X-Ray, Gamma-Ray and Cosmic-Ray Instruments; Technologies for Gravity Wave Detection"
Topic S5,S5.01; S5.02; S5.03,Low Thrust and Propellantless Propulsion Technologies; Accommodation and Mitigation of Space Environmental Effects; Technologies for Particles and Fields Measurements
Topic S6,S6.01; S6.02; S6.03; S6.04; S6.05; S6.06; S6.07,Passive Optics; Lidar Remote Sensing; Earth In Situ Sensors; Passive Microwave; Active Microwave; Passive Infrared - Sub Millimeter; Thermal Control for Instruments
Topic S7,S7.01; S7.02; S7.03,"Geospatial Data Analysis Processing and Visualization Technologies; Innovative Tools and Techniques Supporting the Practical Uses of Earth Science Observations; Wireless Technologies for Spatial Data, Input, Manipulation and Distribution"
Topic S8,S8.01; S8.02; S8.03; S8.04; S8.05; S8.06,"Guidance, Navigation and Control; Command and Data Handling; Long Range and Near Earth RF Communications; Spacecraft Propulsion; Energy Conversion and Storage for Space Applications; Platform Power Management and Distribution"
Topic S9,S9.01; S9.02; S9.03; S9.04,Automation and Planning; Distributed Information Systems and Numerical Simulation; Data Management and Visualization; On-Board Science for Decisions and Actions
Topic X1,X1.01; X1.02; X1.03; X1.04,In-Space Computing and Reconfigurable Electronics; Extreme Environment Electronics/SEE; Sensing and Imaging; Surface Networks & Access Links
Topic X2,X2.01; X2.02; X2.03,Advanced Materials; Structures and Habitats; Nanostructured Materials
Topic X3,X3.01; X3.02; X3.03,Power Generation & Transmission; Energy Storage; Cryo & Thermal Management
Topic X4,X4.01; X4.02,Technology Systems Analysis; Design and Analysis Tools
Topic X5,X5.01; X5.02,Software Engineering; Human Autonomy Interaction
Topic X6,X6.01; X6.02; X6.03,Intelligent Operations Systems; Space Assembly Maintenance & Servicing; Launch Site Technologies
Topic X7,X7.01; X7.02; X7.03; X7.04,Chemical Propulsion Systems and Modeling; Chemical Propulsion Components; High-Power Electric Propulsion; Aeroassist Systems
Topic X8,X8.01; X8.02,Vehicle Health Management Systems; Intelligent Modular Systems
Topic X9,X9.01; X9.02,In-Situ Resource Utilization & Space Manufacturing; Surface Mobility/Mechanisms
Topic X10,X10.01; X10.02; X10.03; X10.04; X10.05,Long-Life Validation and Flight Qualification of Nuclear Space Systems Hardware Prior to Flight Use; Critical Technologies for In-Space Application of Nuclear Thermal Propulsion; Critical Technologies for Space-Based Nuclear Fission Power Systems; Heat Rejection Technologies for Nuclear Systems; Computational Material Science Tools for Space Nuclear Systems Design
Topic X11,X11.01; X11.02; X11.03,Radiation Health; Human Health Countermeasures; Autonomous Medical Care
Topic X12,X12.01; X12.02; X12.03; X12.04; X12.05; X12.06; X12.07,Advanced Life Support: Air and Thermal; EVA Technologies; Contingency Response Technologies; Advanced Environment Monitoring and Control; Advanced Life Support: Food Provisioning and Biomass; Habitation Systems; Advanced Life Support: Water and Waste Processing
Topic X13,X13.01; X13.02; X13.03,Space Human Factors Engineering; Behavioral Health and Performance; Systems Engineering and Requirements
Topic X14,X14.01; X14.02,Space-Based Industries; Multi-Use Microgravity and Software
