Subtopics_name,2022-focus area and code,2021-focus area and code,2020-focus area and code,2019-focus area and code,2018-focus area and code,2017-focus area and code,2016-focus area and code,2015-focus area and code,2014-focus area and code,2012-focus area and code,2011-focus area and code,2010-focus area and code,2009-focus area and code,2008-focus area and code,2007-focus area and code,2006-focus area and code,2005-focus area and code,2004-focus area and code
21st Century Spaceport Ground Systems Technologies,,,,,,,,,,,Topic O2 Space Transportation; O2.03,,,,,,,
3D Weaving Diagnostics,,, and Landing Systems; Z7.05,,,,,,,,,,,,,,,
A New Technique for Automated Analyses of Raw Operational Videos,,,,,,,,,,,Topic X15 Space Human Factors and Food Systems; X15.01,,,,,,,
AERONAUTICAL INFORMATION SYSTEM SECURITY (AISS): Aircraft Systems,Focus Area 19 Integrated Flight Systems; A2.04,,,,,,,,,,,,,,,,,
AI&T Planner and Scheduler,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.06,,,,,
Ablative Thermal Protection System for CEV,,,,,,,,,,,,,,,,Topic X10 Thermal Protection; X10.01,,
Ablative Thermal Protection Systems,,,,,,,,,, Descent and Landing Technology; H7.01, and Landing (EDL) Technology; X9.01, and Landing (EDL) Technology; X9.01,Topic X9 Thermal Protection Systems; X9.01,,,,,
Ablative Thermal Protection Systems Technologies,,,,,,,TA9.1 Aeroassist & Entry; H7.01,,,,,,,,,,,
 Sensors and NDE Methods,,,,,,,,TA9.1 Aeroassist & Entry; H7.01,,,,,,,,,,
Accelerating NASA Science and Engineering through the Application of Artificial Intelligence,,Focus Area 13 Information Technologies for Science Data; S5.03,Focus Area 13 Information Technologies for Science Data; S5.03,,,,,,,,,,,,,,,
Accommodation and Mitigation of Space Environmental Effects,,,,,,,,,,,,,,,,,Topic S5 Sun - Solar System Connection; S5.02,
Active Charged Particle and Neutron Measurement,,,,,,,,,,,,Topic X15 Space Radiation; X15.01,,,,,,
Active Charged Particle and Neutron Radiation Measurement Technologies,,,,,,,,,,,,,Topic X14 Space Radiation; X14.01,Topic X13 Space Radiation; X13.01,,,,
Active Microwave,,,,,,,,,,,,,,,,Topic S6 Earth Science Instrument and Sensor Technology; S6.05,Topic S6 Earth-Sun System Instrument and Sensor Technology; S6.05,Topic E1 Instruments for Earth Science Measurements; E1.05
Active Microwave Technologies,,,,,,,,,,, Detectors and Instruments; S1.02, Detectors and Instruments; S1.02, Detectors and Instruments; S1.02, Detectors and Instruments; S1.02, and Instruments; S1.02,,,
Active Thermal Control Systems for Space Exploration,,,,,,,TA14.2 Thermal Control Systems; Z2.01,,,,,,,,,,,
Active and Passive Dust Mitigation Surfaces,Focus Area 24 Dust Mitigation and Extreme Lunar Environment Mitigation Technologies; Z13.01,Focus Area 24 Dust Mitigation; Z13.01,Focus Area 24 Dust Mitigation; Z13.01,,,,,,,,,,,,,,,
Adaptive Aeroservoelastic Suppression,,,,,,,,,,,,Topic A1 Aviation Safety; A1.07,Topic A1 Aviation Safety; A1.07,,,,,
